lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
coworker 1019 88 356.92 15.41 369.0 1695.88 183.44 POSKW
conversation 1579 460 553.06 80.56 679.67 1665.18 149.14 POSKW
acquaintance 871 67 305.08 11.73 312.67 1485.39 185.19 POSKW
glass 758 33 265.5 5.78 263.67 1417.99 191.48 POSKW
background 716 80 250.79 14.01 265.33 1118.8 178.84 POSKW
chat 824 149 288.62 26.09 324.33 1098.24 166.83 POSKW
message 880 309 308.23 54.12 396.33 821.7 140.26 POSKW
people 2721 2590 953.06 453.59 1770.33 719.58 71.02 POSKW
talk 692 218 242.38 38.18 303.33 695.22 145.57 POSKW
surface 419 48 146.76 8.41 155.67 650.26 178.33 POSKW
phone 566 149 198.25 26.09 238.33 632.56 153.47 POSKW
character 437 63 153.06 11.03 166.67 632.56 173.11 POSKW
fine 447 79 156.57 13.84 175.33 601.19 167.52 POSKW
silence 588 184 205.95 32.22 257.33 593.27 145.88 POSKW
joke 490 119 171.63 20.84 203.0 571.49 156.69 POSKW
text 636 236 222.77 41.33 290.67 570.5 137.4 POSKW
memes 323 24 113.13 4.2 115.67 554.64 185.67 POSKW
group 812 441 284.41 77.23 417.67 516.25 114.58 POSKW
noise 367 59 128.55 10.33 142.0 511.53 170.24 POSKW
paper 404 89 141.51 15.59 164.33 494.27 160.31 POSKW
role 322 40 112.78 7.01 120.67 488.31 176.61 POSKW
ghost 291 42 101.93 7.36 111.0 421.07 173.08 POSKW
home 751 469 263.05 82.14 406.67 404.94 104.82 POSKW
everyone 1211 1033 424.17 180.91 748.0 401.82 80.41 POSKW
weekend 305 118 106.83 20.67 141.0 265.04 135.16 POSKW
outside 335 147 117.34 25.74 160.67 262.39 128.03 POSKW
a.m. 155 16 54.29 2.8 57.0 247.28 180.37 POSKW
plan 353 177 123.64 31.0 176.67 243.99 119.82 POSKW
life 1642 1938 575.13 339.4 1193.33 240.99 51.55 POSKW
night 445 280 155.87 49.04 241.67 237.64 104.27 POSKW
work 555 421 194.4 73.73 325.33 226.29 90.01 POSKW
weather 158 24 55.34 4.2 60.67 224.69 171.76 POSKW
script 121 11 42.38 1.93 44.0 199.06 182.61 POSKW
surface-level 104 5 36.43 0.88 36.33 191.98 190.61 POSKW
mix 150 32 52.54 5.6 60.67 186.27 161.45 POSKW
notification 131 20 45.88 3.5 50.33 185.97 171.63 POSKW
emails 106 10 37.13 1.75 38.67 172.88 181.98 POSKW
version 214 92 74.96 16.11 102.0 170.62 129.23 POSKW
show 187 70 65.5 12.26 85.67 166.64 136.94 POSKW
scroll 108 13 37.83 2.28 40.33 165.29 177.29 POSKW
couple 285 173 99.82 30.3 152.67 159.25 106.86 POSKW
head 398 325 139.4 56.92 241.0 143.14 84.03 POSKW
interaction 243 151 85.11 26.44 131.33 131.86 105.18 POSKW
wall 169 75 59.19 13.13 81.33 131.06 127.36 POSKW
room 299 218 104.73 38.18 172.33 129.78 93.14 POSKW
photo 118 32 41.33 5.6 50.0 129.72 152.24 POSKW
errand 87 13 30.47 2.28 33.33 124.42 172.19 POSKW
window 101 26 35.38 4.55 42.33 114.26 154.39 POSKW
answer 160 79 56.04 13.84 79.67 112.3 120.8 POSKW
motion 118 42 41.33 7.36 53.33 109.12 139.57 POSKW
gap 99 29 34.68 5.08 42.67 104.06 148.9 POSKW
ache 116 47 40.63 8.23 54.33 97.18 132.62 POSKW
door 100 34 35.03 5.95 44.67 95.5 141.88 POSKW
