Hey	UH	hey
,	,	,
I	NP	I
’m	NP	<unknown>
Ammar	NP	Ammar
(	(	(
online	JJ	online
I	PP	I
go	VBP	go
by	IN	by
Untamed	NP	<unknown>
Draws	NP	<unknown>
)	)	)
.	SENT	.
I	PP	I
’m	NN	<unknown>
a	DT	a
professional	JJ	professional
concept	NN	concept
artist	NN	artist
—	:	-
I	PP	I
spend	VBP	spend
most	JJS	most
of	IN	of
my	PP$	my
days	NNS	day
helping	VBG	help
bring	VB	bring
stories	NNS	story
and	CC	and
ideas	NNS	idea
to	TO	to
life	NN	life
for	IN	for
books	NNS	book
and	CC	and
media	NNS	medium
.	SENT	.
On	IN	on
the	DT	the
outside	NN	outside
,	,	,
it	PP	it
probably	RB	probably
sounds	VBZ	sound
like	IN	like
a	DT	a
dream	NN	dream
job	NN	job
.	SENT	.
And	CC	and
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
it	PP	it
is	VBZ	be
.	SENT	.
But	CC	but
honestly	RB	honestly
?	SENT	?
Lately	RB	lately
,	,	,
I	PP	I
’ve	VBP	have
just	RB	just
been	VBN	be
feeling	VBG	feel
incredibly	RB	incredibly
lonely	JJ	lonely
.	SENT	.
I	PP	I
spend	VBP	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
in	IN	in
my	PP$	my
own	JJ	own
head	NN	head
,	,	,
creating	VBG	create
,	,	,
thinking	VBG	think
,	,	,
overthinking	VBG	<unknown>
...	:	...
and	CC	and
while	IN	while
I	PP	I
love	VBP	love
art	NN	art
and	CC	and
everything	NN	everything
that	WDT	that
comes	VBZ	come
with	IN	with
it	PP	it
—	:	-
music	NN	music
,	,	,
games	NNS	game
,	,	,
food	NN	food
,	,	,
meaning	NN	meaning
,	,	,
love	NN	love
,	,	,
self-care	NN	self-care
,	,	,
even	RB	even
things	NNS	thing
like	IN	like
home	NN	home
building	NN	building
and	CC	and
gardening	NN	gardening
—	:	-
none	NN	none
of	IN	of
it	PP	it
really	RB	really
fills	VBZ	fill
that	DT	that
space	NN	space
where	WRB	where
human	JJ	human
connection	NN	connection
should	MD	should
be	VB	be
.	SENT	.
I	PP	I
’m	NN	<unknown>
an	DT	an
empath	NN	<unknown>
,	,	,
which	WDT	which
makes	VBZ	make
it	PP	it
even	RB	even
harder	RBR	harder
sometimes	RB	sometimes
.	SENT	.
I	PP	I
feel	VBP	feel
people	NNS	people
deeply	RB	deeply
,	,	,
but	CC	but
lately	RB	lately
it	PP	it
feels	VBZ	feel
like	IN	like
there	EX	there
’s	VBZ	be
no	DT	no
one	CD	one
around	RB	around
to	TO	to
feel	VB	feel
with	IN	with
,	,	,
if	IN	if
that	WDT	that
makes	VBZ	make
sense	NN	sense
.	SENT	.
I	PP	I
guess	VBP	guess
I	PP	I
’m	NN	<unknown>
just	RB	just
reaching	VBG	reach
out	RP	out
,	,	,
hoping	VBG	hope
to	TO	to
find	VB	find
someone	NN	someone
who	WP	who
understands	VBZ	understand
what	WP	what
that	DT	that
kind	NN	kind
of	IN	of
loneliness	NN	loneliness
feels	VBZ	feel
like	IN	like
.	SENT	.
Someone	NN	someone
who	WP	who
does	VBZ	do
n’t	RB	n't
mind	VB	mind
slow	JJ	slow
conversations	NNS	conversation
,	,	,
deep	JJ	deep
thoughts	NNS	thought
,	,	,
or	CC	or
just	RB	just
existing	VBG	exist
quietly	RB	quietly
together	RB	together
when	WRB	when
the	DT	the
words	NNS	word
are	VBP	be
n’t	RB	n't
there	RB	there
.	SENT	.
If	IN	if
any	DT	any
of	IN	of
this	DT	this
resonates	VBZ	resonate
with	IN	with
you	PP	you
,	,	,
even	RB	even
a	DT	a
little	JJ	little
,	,	,
I	PP	I
’d	MD	will
love	VB	love
to	TO	to
talk	VB	talk
.	SENT	.
Whether	IN	whether
it	PP	it
's	VBZ	be
about	RB	about
life	NN	life
,	,	,
art	NN	art
,	,	,
the	DT	the
weirdness	NN	weirdness
of	IN	of
existence	NN	existence
,	,	,
or	CC	or
just	RB	just
how	WRB	how
your	PP$	your
day	NN	day
went	VBD	go
—	:	-
I	PP	I
’m	NN	<unknown>
here	RB	here
.	SENT	.
Thanks	NNS	thanks
for	IN	for
reading	NN	reading
.	SENT	.
