31	CD	@card@
today	NN	today
.	SENT	.
Got	VBD	get
hurt	VBN	hurt
at	IN	at
work	NN	work
yesterday	NN	yesterday
,	,	,
so	RB	so
spent	VBD	spend
the	DT	the
day	NN	day
in	IN	in
bed	NN	bed
.	SENT	.
Some	DT	some
friends	NNS	friend
reached	VBN	reach
out	RP	out
,	,	,
same	JJ	same
ones	NNS	one
that	WDT	that
usually	RB	usually
do	VBP	do
.	SENT	.
Could	MD	could
n’t	RB	n't
go	VB	go
climbing	VBG	climb
due	JJ	due
to	TO	to
the	DT	the
injury	NN	injury
,	,	,
which	WDT	which
is	VBZ	be
always	RB	always
my	PP$	my
happy	JJ	happy
place	NN	place
.	SENT	.
Asked	VBN	ask
a	DT	a
couple	NN	couple
friends	NNS	friend
if	IN	if
they	PP	they
wanted	VBD	want
to	TO	to
hang	VB	hang
out	RP	out
,	,	,
they	PP	they
were	VBD	be
all	DT	all
busy	JJ	busy
but	CC	but
they	PP	they
said	VBD	say
“	``	"
have	VBP	have
fun	NN	fun
”	''	"
.	SENT	.
Just	RB	just
sucks	VBZ	suck
.	SENT	.
