Hey	UH	hey
;	:	;
I	PP	I
’m	NN	<unknown>
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
a	DT	a
new	JJ	new
career	NN	career
path	NN	path
.	SENT	.
Where	WRB	where
do	VBP	do
you	PP	you
,	,	,
as	IN	as
a	DT	a
loner	NN	loner
work	NN	work
?	SENT	?
Do	VB	do
you	PP	you
have	VBP	have
to	TO	to
deal	VB	deal
with	IN	with
people	NNS	people
a	DT	a
lot	NN	lot
or	CC	or
you	PP	you
’ve	VBP	have
found	VBN	find
a	DT	a
job	NN	job
that	IN	that
you	PP	you
can	MD	can
mostly	RB	mostly
avoid	VB	avoid
people	NNS	people
?	SENT	?
