Hey	UH	hey
fam	NN	<unknown>
,	,	,
I	PP	I
've	VBP	have
been	VBN	be
through	IN	through
some	DT	some
really	RB	really
deep	JJ	deep
loneliness	NN	loneliness
myself	PP	myself
,	,	,
and	CC	and
now	RB	now
I	PP	I
'm	VBP	be
working	VBG	work
on	IN	on
something	NN	something
to	TO	to
try	VB	try
to	TO	to
help	VB	help
with	IN	with
social/emotional	JJ	<unknown>
isolation	NN	isolation
.	SENT	.
But	CC	but
before	IN	before
I	PP	I
go	VBP	go
further	JJR	further
,	,	,
I	PP	I
need	VBP	need
to	TO	to
understand	VB	understand
how	WRB	how
others	NNS	other
experience	VBP	experience
it	PP	it
-	NN	<unknown>
what	WP	what
the	DT	the
common	JJ	common
threads	NNS	thread
are	VBP	be
,	,	,
what	WP	what
actually	RB	actually
helps	VBZ	help
vs	NP	vs
what	WP	what
makes	VBZ	make
things	NNS	thing
worse	JJR	bad
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
words	NNS	word
and	CC	and
comfort	NN	comfort
.	SENT	.
So	RB	so
I	PP	I
'm	VBP	be
just	RB	just
looking	VBG	look
to	TO	to
chat	VB	chat
with	IN	with
people	NNS	people
who	WP	who
are	VBP	be
going	VBG	go
through	IN	through
this	DT	this
or	CC	or
have	VBP	have
been	VBN	be
through	IN	through
it	PP	it
.	SENT	.
Either	CC	either
over	IN	over
coffee	NN	coffee
if	IN	if
you	PP	you
're	VBP	be
in	IN	in
Lyon	NP	Lyon
,	,	,
France	NP	France
(	(	(
my	PP$	my
treat	NN	treat
)	)	)
,	,	,
or	CC	or
a	DT	a
20ish	JJ	<unknown>
min	NN	min
call	NN	call
.	SENT	.
It	PP	it
's	VBZ	be
confidential	JJ	confidential
,	,	,
I	PP	I
'm	VBP	be
not	RB	not
selling	VBG	sell
anything	NN	anything
,	,	,
no	DT	no
personal	JJ	personal
info	NN	info
needed	VBD	need
.	SENT	.
It	PP	it
's	VBZ	be
really	RB	really
just	RB	just
to	TO	to
help	VB	help
me	PP	me
understand	VB	understand
the	DT	the
patterns	NNS	pattern
that	WDT	that
keep	VBP	keep
showing	VBG	show
up	RP	up
,	,	,
find	VB	find
what	WP	what
connects	VBZ	connect
us	PP	us
all	DT	all
,	,	,
and	CC	and
also	RB	also
give	VB	give
you	PP	you
a	DT	a
moment	NN	moment
where	WRB	where
you	PP	you
're	VBP	be
genuinely	RB	genuinely
heard	VBN	hear
.	SENT	.
If	IN	if
you	PP	you
're	VBP	be
down	RB	down
for	IN	for
a	DT	a
talk	NN	talk
,	,	,
feel	VBP	feel
free	JJ	free
to	TO	to
reach	VB	reach
out	RP	out
.	SENT	.
Thanks	NNS	thanks
for	IN	for
reading	NN	reading
.	SENT	.
\-E	NNS	<unknown>
