Hey	UH	hey
there	RB	there
,	,	,
guys	NNS	guy
!	SENT	!
I	PP	I
am	VBP	be
a	DT	a
34-year-old	JJ	34-year-old
male	NN	male
.	SENT	.
I	PP	I
have	VBP	have
been	VBN	be
lonely	JJ	lonely
for	IN	for
most	JJS	most
of	IN	of
my	PP$	my
adult	NN	adult
life	NN	life
.	SENT	.
My	PP$	my
father	NN	father
died	VBD	die
when	WRB	when
I	PP	I
was	VBD	be
17	CD	@card@
,	,	,
and	CC	and
I	PP	I
had	VBD	have
to	TO	to
start	VB	start
being	VBG	be
an	DT	an
adult	NN	adult
at	IN	at
that	DT	that
age	NN	age
.	SENT	.
I	PP	I
ended	VBD	end
up	RP	up
doing	VBG	do
pretty	RB	pretty
much	JJ	much
everything	NN	everything
I	PP	I
had	VBD	have
no	DT	no
interest	NN	interest
in	IN	in
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
my	PP$	my
mother	NN	mother
and	CC	and
younger	JJR	young
sister	NN	sister
,	,	,
prioritizing	VBG	<unknown>
their	PP$	their
financial	JJ	financial
well-being	NN	well-being
.	SENT	.
I	PP	I
compromised	VBD	compromise
on	IN	on
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
,	,	,
and	CC	and
everyone	NN	everyone
I	PP	I
was	VBD	be
involved	VBN	involve
with	IN	with
seemed	VBD	seem
to	TO	to
want	VB	want
something	NN	something
from	IN	from
me	PP	me
but	CC	but
not	RB	not
me	PP	me
for	IN	for
who	WP	who
I	PP	I
am	VBP	be
.	SENT	.
They	PP	they
left	VBD	leave
when	WRB	when
things	NNS	thing
started	VBD	start
getting	VBG	get
really	RB	really
tough	JJ	tough
,	,	,
especially	RB	especially
financially	RB	financially
.	SENT	.
At	IN	at
that	DT	that
point	NN	point
,	,	,
they	PP	they
chose	VBD	choose
what	WP	what
was	VBD	be
best	RBS	well
for	IN	for
them	PP	them
,	,	,
and	CC	and
I	PP	I
do	VBP	do
not	RB	not
blame	VB	blame
them	PP	them
for	IN	for
leaving	VBG	leave
me	PP	me
at	IN	at
my	PP$	my
worst	JJS	bad
.	SENT	.
But	CC	but
it	PP	it
changed	VBD	change
my	PP$	my
perspective	NN	perspective
on	IN	on
love	NN	love
and	CC	and
marriage	NN	marriage
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
time	NN	time
when	WRB	when
even	RB	even
my	PP$	my
own	JJ	own
mother	NN	mother
and	CC	and
sister	NN	sister
—	:	-
for	IN	for
whom	WP	whom
I	PP	I
sacrificed	VBD	sacrifice
all	PDT	all
my	PP$	my
passions	NNS	passion
and	CC	and
interests	NNS	interest
—	:	-
saw	VBD	see
me	PP	me
as	IN	as
someone	NN	someone
to	TO	to
be	VB	be
discarded	VBN	discard
when	WRB	when
I	PP	I
was	VBD	be
briefly	RB	briefly
unemployed	JJ	unemployed
(	(	(
just	RB	just
2	CD	@card@
months	NNS	month
)	)	)
.	SENT	.
I	PP	I
always	RB	always
gave	VBD	give
them	PP	them
every	DT	every
extra	JJ	extra
penny	NN	penny
I	PP	I
had	VBD	have
,	,	,
and	CC	and
it	PP	it
was	VBD	be
never	RB	never
enough	RB	enough
or	CC	or
never	RB	never
right	RB	right
.	SENT	.
I	PP	I
live	VBP	live
by	IN	by
myself	PP	myself
now	RB	now
.	SENT	.
The	DT	the
last	JJ	last
time	NN	time
I	PP	I
visited	VBD	visit
my	PP$	my
family	NN	family
was	VBD	be
about	RB	about
4	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
They	PP	they
do	VBP	do
not	RB	not
miss	VB	miss
me	PP	me
.	SENT	.
They	PP	they
hardly	RB	hardly
try	VBP	try
to	TO	to
contact	VB	contact
me	PP	me
.	SENT	.
The	DT	the
women	NNS	woman
I	PP	I
get	VBP	get
involved	JJ	involved
with	IN	with
want	VBP	want
more	JJR	more
from	IN	from
me	PP	me
,	,	,
just	RB	just
not	RB	not
*me*	JJ	<unknown>
.	SENT	.
I	PP	I
'm	VBP	be
not	RB	not
saying	VBG	say
everyone	NN	everyone
is	VBZ	be
like	IN	like
that	DT	that
,	,	,
but	CC	but
unfortunately	RB	unfortunately
that	WDT	that
has	VBZ	have
been	VBN	be
my	PP$	my
experience	NN	experience
.	SENT	.
I	PP	I
ca	MD	ca
n't	RB	n't
remember	VB	remember
the	DT	the
last	JJ	last
time	NN	time
I	PP	I
was	VBD	be
happy	JJ	happy
.	SENT	.
The	DT	the
days	NNS	day
keep	VBP	keep
getting	VBG	get
increasingly	RB	increasingly
hard	JJ	hard
to	TO	to
navigate	VB	navigate
.	SENT	.
Anyway	RB	anyway
,	,	,
I	PP	I
just	RB	just
thought	VBD	think
I	PP	I
would	MD	would
share	VB	share
my	PP$	my
mind	NN	mind
here	RB	here
,	,	,
considering	VBG	consider
that	IN	that
no	DT	no
one	CD	one
in	IN	in
my	PP$	my
life	NN	life
seems	VBZ	seem
interested	JJ	interested
in	IN	in
spending	VBG	spend
some	DT	some
time	NN	time
with	IN	with
me	PP	me
.	SENT	.
Thanks	NNS	thanks
for	IN	for
your	PP$	your
time	NN	time
.	SENT	.
