Hey	UH	hey
,	,	,
I	PP	I
’m	NN	<unknown>
here	RB	here
because	IN	because
I	PP	I
did	VBD	do
n’t	RB	n't
want	VB	want
to	TO	to
go	VB	go
anywhere	RB	anywhere
else	RB	else
since	IN	since
everyone	NN	everyone
would	MD	would
be	VB	be
a	DT	a
little	JJ	little
bit	NN	bit
weird	JJ	weird
so	IN	so
I	PP	I
chose	VBD	choose
here	RB	here
because	IN	because
everyone	NN	everyone
would	MD	would
probably	RB	probably
have	VB	have
a	DT	a
brain	NN	brain
.	SENT	.
I	PP	I
’ve	VBP	have
not	RB	not
been	VBN	be
interacting	VBG	interact
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
because	IN	because
I	PP	I
think	VBP	think
they	PP	they
’re	VBP	be
stupid	JJ	stupid
and	CC	and
that	WDT	that
’s	VBZ	be
the	DT	the
truth	NN	truth
and	CC	and
in	IN	in
all	DT	all
honesty	NN	honesty
they	PP	they
are	VBP	be
stupid	JJ	stupid
.	SENT	.
So	RB	so
I	PP	I
came	VBD	come
here	RB	here
to	TO	to
make	VB	make
friends	NNS	friend
and	CC	and
people	NNS	people
are	VBP	be
from	IN	from
different	JJ	different
places	NNS	place
or	CC	or
different	JJ	different
backgrounds	NNS	background
to	TO	to
have	VB	have
fun	NN	fun
and	CC	and
talk	NN	talk
.	SENT	.
Anyone	NN	anyone
is	VBZ	be
up	RB	up
to	TO	to
being	JJ	being
friends	NNS	friend
.	SENT	.
Let	VB	let
me	PP	me
know	VB	know
.	SENT	.
I	PP	I
just	RB	just
need	VBP	need
somebody	NN	somebody
who	WP	who
’s	VBZ	be
mentally	RB	mentally
compatible	JJ	compatible
to	TO	to
me	PP	me
smart	JJ	smart
fun	NN	fun
likes	NNS	like
art	NN	art
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
all	PDT	all
the	DT	the
fun	NN	fun
stuff	NN	stuff
.	SENT	.
