Hey	UH	hey
I	PP	I
've	VBP	have
been	VBN	be
feeling	VBG	feel
pretty	RB	pretty
lonely	JJ	lonely
lately	RB	lately
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
open	VB	open
up	RP	up
about	IN	about
it	PP	it
here	RB	here
,	,	,
hoping	VBG	hope
maybe	RB	maybe
some	DT	some
of	IN	of
you	PP	you
can	MD	can
relate	VB	relate
or	CC	or
have	VBP	have
advice	NN	advice
.	SENT	.
I	PP	I
did	VBD	do
n't	RB	n't
grow	VB	grow
up	RP	up
in	IN	in
the	DT	the
city	NN	city
I	PP	I
live	VBP	live
in	IN	in
,	,	,
so	RB	so
I	PP	I
missed	VBD	miss
out	RP	out
on	IN	on
making	VBG	make
those	DT	those
long-term	JJ	long-term
friends	NNS	friend
from	IN	from
school	NN	school
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
seem	VBP	seem
to	TO	to
have	VB	have
.	SENT	.
I	PP	I
work	VBP	work
as	IN	as
a	DT	a
solo	JJ	solo
gig	NN	gig
worker	NN	worker
,	,	,
which	WDT	which
means	VBZ	mean
I	PP	I
do	VBP	do
n't	RB	n't
naturally	RB	naturally
make	VB	make
connections	NNS	connection
like	IN	like
you	PP	you
would	MD	would
in	IN	in
an	DT	an
office	NN	office
setting	NN	setting
.	SENT	.
It	PP	it
's	VBZ	be
tough	JJ	tough
.	SENT	.
I	PP	I
try	VBP	try
to	TO	to
go	VB	go
to	TO	to
events	NNS	event
to	TO	to
meet	VB	meet
people	NNS	people
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
hit	VBN	hit
or	CC	or
miss	VB	miss
.	SENT	.
Sometimes	RB	sometimes
it	PP	it
feels	VBZ	feel
like	IN	like
people	NNS	people
do	VBP	do
n't	RB	n't
really	RB	really
value	VB	value
new	JJ	new
connections	NNS	connection
because	IN	because
they	PP	they
have	VBP	have
so	RB	so
many	JJ	many
options	NNS	option
,	,	,
or	CC	or
maybe	RB	maybe
it	PP	it
's	VBZ	be
just	RB	just
too	RB	too
much	JJ	much
effort	NN	effort
to	TO	to
keep	VB	keep
meeting	VBG	meet
up	RP	up
.	SENT	.
It	PP	it
's	VBZ	be
hard	RB	hard
dropping	VBG	drop
everything	NN	everything
to	TO	to
meet	VB	meet
someone	NN	someone
,	,	,
especially	RB	especially
when	WRB	when
the	DT	the
initial	JJ	initial
excitement	NN	excitement
fades	NNS	fade
and	CC	and
reality	NN	reality
sets	NNS	set
in	IN	in
.	SENT	.
--	:	--
Does	VBZ	do
anyone	NN	anyone
else	RB	else
feel	VBP	feel
lonely	JJ	lonely
as	IN	as
well	RB	well
?	SENT	?
What	WP	what
are	VBP	be
the	DT	the
main	JJ	main
barriers	NNS	barrier
for	IN	for
you	PP	you
to	TO	to
making	VBG	make
and	CC	and
keeping	VBG	keep
friends	NNS	friend
?	SENT	?
Is	VBZ	be
it	PP	it
our	PP$	our
busy	JJ	busy
lifestyles	NNS	lifestyle
,	,	,
work	NN	work
demands	NNS	demand
,	,	,
societal	JJ	societal
expectations	NNS	expectation
,	,	,
or	CC	or
something	NN	something
else	RB	else
like	IN	like
fear	NN	fear
of	IN	of
meeting	NN	meeting
creeps	NN	creeps
or	CC	or
just	RB	just
the	DT	the
effort	NN	effort
it	PP	it
takes	VBZ	take
to	TO	to
maintain	VB	maintain
relationships	NNS	relationship
?	SENT	?
Would	MD	would
love	VB	love
to	TO	to
hear	VB	hear
your	PP$	your
thoughts	NNS	thought
and	CC	and
experiences	NNS	experience
.	SENT	.
Thanks	NNS	thanks
for	IN	for
listening	VBG	listen
.	SENT	.
