Hey	UH	hey
not	RB	not
really	RB	really
sure	JJ	sure
where	WRB	where
to	TO	to
start	VB	start
this	DT	this
but	CC	but
I	PP	I
never	RB	never
really	RB	really
realized	VBN	realize
how	WRB	how
alone	RB	alone
I	PP	I
am	VBP	be
.	SENT	.
My	PP$	my
partner	NN	partner
of	IN	of
7	CD	@card@
years	NNS	year
left	VBD	leave
me	PP	me
and	CC	and
it	PP	it
's	VBZ	have
been	VBN	be
almost	RB	almost
3	CD	@card@
years	NNS	year
since	RB	since
.	SENT	.
And	CC	and
all	PDT	all
the	DT	the
people	NNS	people
I	PP	I
thought	VBD	think
were	VBD	be
my	PP$	my
friends	NNS	friend
too	RB	too
more	RBR	more
than	IN	than
made	VBN	make
obvious	JJ	obvious
that	IN	that
wasnt	NN	<unknown>
true	JJ	true
.	SENT	.
After	IN	after
that	IN	that
my	PP$	my
one	CD	one
and	CC	and
only	RB	only
best	JJS	good
friend	NN	friend
had	VBD	have
my	PP$	my
back	NN	back
.	SENT	.
But	CC	but
lately	RB	lately
even	RB	even
that	DT	that
has	VBZ	have
begun	VBN	begin
to	TO	to
slip	VB	slip
.	SENT	.
Ive	NP	Ive
dialed	VBD	dial
back	RB	back
me	PP	me
putting	VBG	put
in	IN	in
all	PDT	all
the	DT	the
effort	NN	effort
and	CC	and
hell	NN	hell
she	PP	she
even	RB	even
said	VBD	say
im	NP	im
one	CD	one
of	IN	of
her	PP$	her
BFFs	NNS	<unknown>
because	IN	because
im	NP	im
easy	JJ	easy
to	TO	to
be	VB	be
around	RB	around
.	SENT	.
Idk	NN	<unknown>
why	NN	why
that	WDT	that
bothers	VBZ	bother
me	PP	me
so	RB	so
much	RB	much
especially	RB	especially
when	WRB	when
she	PP	she
calls	VBZ	call
me	PP	me
her	PP$	her
brother	NN	brother
.	SENT	.
I	PP	I
dont	VBP	<unknown>
want	VB	want
anything	NN	anything
from	IN	from
her	PP$	her
but	CC	but
her	PP$	her
friendship	NN	friendship
but	CC	but
it	PP	it
feels	VBZ	feel
all	DT	all
so	IN	so
one	PP	one
sided	VBD	side
.	SENT	.
Especially	RB	especially
lately	RB	lately
,	,	,
i	NP	i
dont	NN	<unknown>
want	VBP	want
to	TO	to
keep	VB	keep
her	PP	her
only	RB	only
for	IN	for
my	PP$	my
self	NN	self
but	CC	but
she	PP	she
has	VBZ	have
never	RB	never
in	IN	in
the	DT	the
13	CD	@card@
years	NNS	year
of	IN	of
being	JJ	being
friends	NNS	friend
invited	VBD	invite
me	PP	me
to	TO	to
anything	NN	anything
,	,	,
and	CC	and
boundaries	NNS	boundary
are	VBP	be
only	RB	only
getting	VBG	get
tighter	JJR	tight
with	IN	with
her	PP	her
.	SENT	.
I	PP	I
feel	VBP	feel
like	IN	like
theres	RB	<unknown>
a	DT	a
gap	NN	gap
thats	NNS	<unknown>
only	RB	only
getting	VBG	get
bigger	JJR	big
and	CC	and
bigger	JJR	big
.	SENT	.
Especially	RB	especially
since	IN	since
shes	NNS	<unknown>
a	DT	a
woman	NN	woman
,	,	,
once	RB	once
she	PP	she
finds	VBZ	find
her	PP$	her
partner	NN	partner
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
high	JJ	high
chance	NN	chance
i	NNS	i
wont	VBP	wont
even	RB	even
be	VB	be
an	DT	an
after	RB	after
thought	VBN	think
anymore	RB	anymore
.	SENT	.
I	PP	I
feel	VBP	feel
miserable	JJ	miserable
.	SENT	.
Ive	NP	Ive
tried	VBD	try
to	TO	to
meet	VB	meet
people	NNS	people
.	SENT	.
Tried	VBN	try
a	DT	a
couple	NN	couple
dates	NNS	date
but	CC	but
ive	NNS	<unknown>
hate	VBP	hate
the	DT	the
dating	VBG	date
scene	NN	scene
so	RB	so
much	RB	much
.	SENT	.
3/4ths	NNS	<unknown>
of	IN	of
the	DT	the
women	NNS	woman
ive	NN	<unknown>
taken	VBN	take
out	RP	out
just	RB	just
wanted	VBD	want
a	DT	a
free	JJ	free
meal	NN	meal
or	CC	or
wanted	VBD	want
to	TO	to
take	VB	take
advantage	NN	advantage
of	IN	of
me	PP	me
.	SENT	.
When	WRB	when
i	NP	i
tried	VBD	try
focusing	VBG	focus
on	IN	on
keeping	VBG	keep
things	NNS	thing
fifty	CD	fifty
fifty	CD	fifty
,	,	,
they	PP	they
ghost	VBP	ghost
me	PP	me
and	CC	and
it	PP	it
feels	VBZ	feel
the	DT	the
worse	JJR	bad
because	IN	because
i	NP	i
want	VBP	want
something	NN	something
real	JJ	real
!	SENT	!
Im	NP	Im
only	RB	only
24	CD	@card@
but	CC	but
with	IN	with
my	PP$	my
birthday	NN	birthday
coming	VBG	come
up	RP	up
i	NNS	i
just	RB	just
feel	VBP	feel
like	IN	like
this	DT	this
loneliness	NN	loneliness
is	VBZ	be
only	RB	only
going	VBG	go
to	TO	to
get	VB	get
worse	JJR	bad
.	SENT	.
Every	DT	every
"	``	"
friend	NN	friend
"	''	"
i	NNS	i
make	VBP	make
always	RB	always
ends	VBZ	end
up	RP	up
never	RB	never
trying	VBG	try
with	IN	with
me	PP	me
.	SENT	.
Even	RB	even
after	IN	after
i	NP	i
make	VBP	make
the	DT	the
effort	NN	effort
to	TO	to
reach	VB	reach
out	RB	out
make	VB	make
plans	NNS	plan
and	CC	and
make	VB	make
them	PP	them
feel	VB	feel
involved	VBN	involve
.	SENT	.
The	DT	the
one	CD	one
that	WDT	that
hurt	VBD	hurt
the	DT	the
most	JJS	most
was	VBD	be
when	WRB	when
i	NP	i
planned	VBD	plan
an	DT	an
entire	JJ	entire
beach	NN	beach
party	NN	party
with	IN	with
all	PDT	all
my	PP$	my
coworkers	NNS	coworker
(	(	(
20+	JJ	<unknown>
PEOPLE	NN	<unknown>
)	)	)
and	CC	and
only	RB	only
5	CD	@card@
people	NNS	people
showed	VBD	show
.	SENT	.
I	PP	I
felt	VBD	feel
like	IN	like
a	DT	a
joke	NN	joke
.	SENT	.
And	CC	and
the	DT	the
worst	JJS	bad
of	IN	of
it	PP	it
i	NP	i
dont	NN	<unknown>
have	VBP	have
much	JJ	much
hope	NN	hope
on	IN	on
finding	VBG	find
love	NN	love
again	RB	again
,	,	,
and	CC	and
as	IN	as
a	DT	a
guy	NN	guy
i	NP	i
dont	NN	<unknown>
think	VBP	think
anyone	NN	anyone
wants	VBZ	want
anything	NN	anything
to	TO	to
deal	VB	deal
with	IN	with
me	PP	me
and	CC	and
having	VBG	have
to	TO	to
forcefully	RB	forcefully
face	VB	face
this	DT	this
reality	NN	reality
is	VBZ	be
just	RB	just
depressing	JJ	depressing
.	SENT	.
If	IN	if
you	PP	you
reached	VBD	reach
this	DT	this
point	NN	point
of	IN	of
this	DT	this
long	JJ	long
ass	NN	ass
paragraph	NN	paragraph
ig	NN	<unknown>
thanks	NNS	thanks
for	IN	for
caring	VBG	care
enough	RB	enough
to	TO	to
read	VB	read
this	DT	this
far	RB	far
and	CC	and
also	RB	also
sorry	JJ	sorry
for	IN	for
wasting	VBG	waste
yr	NN	Yr
time	NN	time
with	IN	with
my	PP$	my
nonsense	NN	nonsense
.	SENT	.
