Hey	UH	hey
I	PP	I
'm	VBP	be
23	CD	@card@
and	CC	and
currently	RB	currently
unemployed	JJ	unemployed
...	:	...
.	SENT	.
I	PP	I
am	VBP	be
at	IN	at
my	PP$	my
home	NN	home
and	CC	and
I	PP	I
feel	VBP	feel
loneliness	NN	loneliness
at	IN	at
its	PP$	its
peak	NN	peak
.	SENT	.
After	IN	after
new	JJ	new
year	NN	year
,	,	,
I	PP	I
started	VBD	start
thinking	VBG	think
about	IN	about
my	PP$	my
friends	NNS	friend
and	CC	and
people	NNS	people
.	SENT	.
I	PP	I
felt	VBD	feel
that	IN	that
I	PP	I
'm	VBP	be
the	DT	the
person	NN	person
who	WP	who
always	RB	always
put	VBP	put
efforts	NNS	effort
and	CC	and
I	PP	I
thought	VBD	think
I	PP	I
might	MD	might
be	VB	be
wrong	JJ	wrong
.	SENT	.
Guess	VBP	guess
what	WP	what
?	SENT	?
I	PP	I
am	VBP	be
not	RB	not
talking	VBG	talk
to	TO	to
my	PP$	my
so	RB	so
called	VBN	call
best	RBS	well
friends	NNS	friend
and	CC	and
people	NNS	people
.	SENT	.
I	PP	I
feel	VBP	feel
bad	JJ	bad
and	CC	and
kinda	RB	kinda
suicidal	JJ	suicidal
.	SENT	.
I	PP	I
am	VBP	be
comfortable	JJ	comfortable
to	TO	to
talk	VB	talk
to	TO	to
strangers	NNS	stranger
and	CC	and
love	VBP	love
that	IN	that
since	IN	since
there	EX	there
would	MD	would
be	VB	be
any	DT	any
judgement	NN	judgement
and	CC	and
I	PP	I
hope	VBP	hope
I	PP	I
'll	MD	will
find	VB	find
someone	NN	someone
here	RB	here
too	RB	too
...	:	...
.	SENT	.
