Hey	UH	hey
everyone	NN	everyone
👋	NN	<unknown>
So	IN	so
I	PP	I
recently	RB	recently
moved	VBD	move
to	TO	to
Bengaluru	NP	<unknown>
(	(	(
22M	NP	<unknown>
)	)	)
for	IN	for
work	NN	work
and	CC	and
honestly	RB	honestly
this	DT	this
is	VBZ	be
gonna	VBG	gonna
be	VB	be
my	PP$	my
first	JJ	first
Diwali	NP	<unknown>
away	RB	away
from	IN	from
home	NN	home
.	SENT	.
No	DT	no
family	NN	family
,	,	,
no	DT	no
old	JJ	old
friends	NNS	friend
here	RB	here
yet	RB	yet
—	:	-
and	CC	and
as	IN	as
the	DT	the
lights	NNS	light
and	CC	and
music	NN	music
start	NN	start
everywhere	RB	everywhere
,	,	,
it	PP	it
’s	VBZ	be
hitting	VBG	hit
a	DT	a
little	JJ	little
bit	NN	bit
different	JJ	different
🫶	NN	<unknown>
I	PP	I
do	VBP	do
n’t	RB	n't
wanna	VB	wanna
spend	VB	spend
the	DT	the
night	NN	night
scrolling	VBG	scroll
reels	NNS	reel
or	CC	or
sitting	VBG	sit
alone	RB	alone
—	:	-
so	RB	so
thought	VBN	think
why	WRB	why
not	RB	not
post	VB	post
here	RB	here
and	CC	and
maybe	RB	maybe
connect	VB	connect
with	IN	with
a	DT	a
few	JJ	few
chill	NN	chill
people	NNS	people
who	WP	who
’re	VBP	be
also	RB	also
in	IN	in
the	DT	the
same	JJ	same
boat	NN	boat
?	SENT	?
Would	MD	would
love	VB	love
to	TO	to
meet	VB	meet
folks	NNS	folk
who	WP	who
’re	VBP	be
up	RP	up
for	IN	for
:	:	:
🎆	JJ	<unknown>
Evening	NP	Evening
hangout	NNS	hangout
/	SYM	/
clubbing	VBG	club
/	SYM	/
chill	JJ	chill
café	NN	café
plan	NN	plan
🍕	NN	<unknown>
Food	NP	Food
,	,	,
long	JJ	long
drive	NN	drive
,	,	,
or	CC	or
just	RB	just
random	JJ	random
conversations	NNS	conversation
🎶	JJ	<unknown>
Music	NP	Music
,	,	,
laughter	NN	laughter
,	,	,
and	CC	and
maybe	RB	maybe
some	DT	some
new	JJ	new
friendships	NNS	friendship
Not	RB	not
looking	VBG	look
for	IN	for
anything	NN	anything
weird	JJ	weird
—	:	-
just	RB	just
some	DT	some
good	JJ	good
company	NN	company
,	,	,
positive	JJ	positive
vibes	NN	vibes
&	CC	&
maybe	RB	maybe
a	DT	a
small	JJ	small
Diwali	NP	<unknown>
celebration	NN	celebration
together	RB	together
✨	JJ	<unknown>
If	IN	if
you	PP	you
’re	VBP	be
also	RB	also
staying	VBG	stay
back	RB	back
in	IN	in
Bengaluru	NP	<unknown>
and	CC	and
wanna	VB	wanna
make	VB	make
this	DT	this
Diwali	NP	<unknown>
a	DT	a
little	RB	little
less	RBR	less
lonely	JJ	lonely
,	,	,
DM	NP	DM
or	CC	or
comment	VB	comment
below	RB	below
.	SENT	.
Let	VB	let
’s	VBZ	be
make	VB	make
the	DT	the
city	NN	city
feel	VBP	feel
a	DT	a
bit	NN	bit
more	RBR	more
like	IN	like
home	NN	home
❤️	NN	<unknown>
#BangaloreFriends	NN	<unknown>
#DiwaliVibes	VBZ	<unknown>
#NewInTown	JJ	<unknown>
#BangaloreMeetup	NNS	<unknown>
