Hey	UH	hey
,	,	,
I	PP	I
just	RB	just
feel	VBP	feel
so	RB	so
lonely	JJ	lonely
.	SENT	.
I	PP	I
’ve	VBP	have
talked	VBN	talk
with	IN	with
my	PP$	my
therapist	NN	therapist
about	IN	about
how	WRB	how
Im	NP	Im
struggling	VBG	struggle
with	IN	with
not	RB	not
knowing	VBG	know
when	WRB	when
I	PP	I
’m	NN	<unknown>
being	VBG	be
overly	RB	overly
friendly	JJ	friendly
and	CC	and
pouring	VBG	pour
all	DT	all
of	IN	of
me	PP	me
and	CC	and
my	PP$	my
story	NN	story
on	IN	on
friends	NNS	friend
for	IN	for
support	NN	support
and	CC	and
validation	NN	validation
,	,	,
and	CC	and
when	WRB	when
I	PP	I
actually	RB	actually
want	VBP	want
to	TO	to
build	VB	build
a	DT	a
friendship	NN	friendship
or	CC	or
build	VB	build
a	DT	a
best	JJS	good
friendship	NN	friendship
for	IN	for
that	DT	that
matter	NN	matter
.	SENT	.
I	PP	I
have	VBP	have
so	RB	so
many	JJ	many
friends	NNS	friend
but	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
really	RB	really
have	VB	have
close	JJ	close
friends	NNS	friend
anymore	RB	anymore
.	SENT	.
The	DT	the
close	JJ	close
friends	NNS	friend
I	PP	I
have	VBP	have
that	DT	that
check	NN	check
up	RB	up
on	IN	on
me	PP	me
every	DT	every
other	JJ	other
day	NN	day
or	CC	or
weekly	JJ	weekly
have	VBP	have
their	PP$	their
own	JJ	own
close	JJ	close
friend	NN	friend
groups	NNS	group
that	WDT	that
I	PP	I
feel	VBP	feel
like	IN	like
they	PP	they
resort	VBP	resort
to	TO	to
in	IN	in
the	DT	the
end	NN	end
for	IN	for
holidays	NNS	holiday
or	CC	or
special	JJ	special
events	NNS	event
.	SENT	.
Example	NN	example
:	:	:
I	PP	I
’ve	VBP	have
been	VBN	be
trying	VBG	try
to	TO	to
plan	VB	plan
to	TO	to
go	VB	go
to	TO	to
Renaissance	NP	Renaissance
festival	NN	festival
but	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
anyone	NN	anyone
to	TO	to
go	VB	go
with	IN	with
.	SENT	.
The	DT	the
ones	NNS	one
I	PP	I
was	VBD	be
planning	VBG	plan
with	IN	with
I	PP	I
did	VBD	do
n’t	RB	n't
finish	VB	finish
cuz	NN	<unknown>
life	NN	life
got	VBD	get
busy	JJ	busy
,	,	,
and	CC	and
they	PP	they
did	VBD	do
n’t	RB	n't
follow	VB	follow
up	RP	up
with	IN	with
me	PP	me
.	SENT	.
None	NN	none
of	IN	of
my	PP$	my
friends	NNS	friend
reached	VBN	reach
out	RP	out
to	TO	to
plan	VB	plan
a	DT	a
ren	JJ	<unknown>
fest	NN	fest
with	IN	with
me	PP	me
but	CC	but
I	PP	I
hear	VBP	hear
how	WRB	how
they	PP	they
went	VBD	go
with	IN	with
others	NNS	other
.	SENT	.
Now	RB	now
they	PP	they
are	VBP	be
sold	VBN	sell
out	RP	out
so	IN	so
I	PP	I
could	MD	could
n’t	RB	n't
even	RB	even
go	VB	go
by	IN	by
myself	PP	myself
if	IN	if
I	PP	I
wanted	VBD	want
to	TO	to
.	SENT	.
I	PP	I
’m	NN	<unknown>
a	DT	a
fantasy	NN	fantasy
lover	NN	lover
and	CC	and
I	PP	I
’ve	VBP	have
always	RB	always
wanted	VBN	want
to	TO	to
embrace	VB	embrace
that	IN	that
more	JJR	more
,	,	,
outside	JJ	outside
of	IN	of
sitting	VBG	sit
at	IN	at
home	NN	home
and	CC	and
watching	VBG	watch
lotr	NN	<unknown>
or	CC	or
hobbit	NN	<unknown>
or	CC	or
Harry	NP	Harry
Potter	NP	Potter
or	CC	or
game	NN	game
of	IN	of
thrones	NNS	throne
for	IN	for
comfort	NN	comfort
.	SENT	.
I	PP	I
’ve	VBP	have
also	RB	also
really	RB	really
wanted	VBD	want
to	TO	to
find	VB	find
a	DT	a
DnD	NP	<unknown>
group	NN	group
or	CC	or
start	VB	start
one	PP	one
with	IN	with
friends	NNS	friend
.	SENT	.
I	PP	I
’ve	VBP	have
lost	VBN	lose
my	PP$	my
friend	NN	friend
groups	NNS	group
that	IN	that
I	PP	I
was	VBD	be
in	IN	in
,	,	,
either	DT	either
cuz	NN	<unknown>
of	IN	of
proximity	NN	proximity
or	CC	or
drama	NN	drama
.	SENT	.
I	PP	I
’m	NN	<unknown>
just	RB	just
alone	RB	alone
.	SENT	.
That	DT	that
’s	VBZ	be
why	WRB	why
I	PP	I
wish	VBP	wish
I	PP	I
was	VBD	be
just	RB	just
dead	JJ	dead
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
so	RB	so
much	RB	much
easier	JJR	easy
than	IN	than
feeling	VBG	feel
alone	RB	alone
.	SENT	.
