Hey	UH	hey
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
really	RB	really
know	VB	know
how	WRB	how
to	TO	to
write	VB	write
this	DT	this
properly	RB	properly
,	,	,
but	CC	but
I	PP	I
’ll	RB	<unknown>
try	VBP	try
to	TO	to
be	VB	be
honest	JJ	honest
.	SENT	.
I	PP	I
’m	NP	<unknown>
19	CD	@card@
,	,	,
mostly	RB	mostly
awake	RB	awake
at	IN	at
night	NN	night
,	,	,
and	CC	and
I	PP	I
do	VBP	do
n’t	RB	n't
really	RB	really
have	VB	have
people	NNS	people
to	TO	to
talk	VB	talk
to	TO	to
right	RB	right
now—like	JJ	<unknown>
genuinely	RB	genuinely
none	NN	none
.	SENT	.
I	PP	I
’m	NN	<unknown>
not	RB	not
looking	VBG	look
for	IN	for
anything	NN	anything
weird	JJ	weird
or	CC	or
fake	JJ	fake
,	,	,
just	RB	just
some	DT	some
real	JJ	real
online	JJ	online
friends	NNS	friend
to	TO	to
talk	VB	talk
to	TO	to
when	WRB	when
nights	NNS	night
get	VBP	get
quiet	JJ	quiet
.	SENT	.
I	PP	I
’m	NN	<unknown>
into	IN	into
late-night	JJ	late-night
conversations	NNS	conversation
,	,	,
random	JJ	random
deep	JJ	deep
talks	NNS	talk
,	,	,
music	NN	music
,	,	,
overthinking	VBG	<unknown>
life	NN	life
,	,	,
studies	NNS	study
(	(	(
trying	VBG	try
to	TO	to
stay	VB	stay
disciplined	JJ	disciplined
but	CC	but
failing	VBG	fail
sometimes	RB	sometimes
😅	JJ	<unknown>
)	)	)
,	,	,
and	CC	and
just	RB	just
normal	JJ	normal
chill	NN	chill
chats	NNS	chat
.	SENT	.
I	PP	I
’m	NN	<unknown>
more	JJR	more
of	IN	of
a	DT	a
listener	NN	listener
than	IN	than
a	DT	a
loud	JJ	loud
talker	NN	talker
,	,	,
and	CC	and
I	PP	I
prefer	VBP	prefer
meaningful	JJ	meaningful
connections	NNS	connection
over	IN	over
big	JJ	big
groups	NNS	group
.	SENT	.
If	IN	if
you	PP	you
’re	VBP	be
also	RB	also
someone	NN	someone
who	WP	who
feels	VBZ	feel
a	DT	a
bit	NN	bit
alone	RB	alone
,	,	,
stays	VBZ	stay
up	RB	up
late	JJ	late
,	,	,
or	CC	or
just	RB	just
wants	VBZ	want
a	DT	a
no-judgment	NN	<unknown>
conversation	NN	conversation
,	,	,
feel	VBP	feel
free	JJ	free
to	TO	to
message	NN	message
me	PP	me
.	SENT	.
We	PP	we
can	MD	can
talk	VB	talk
about	IN	about
anything	NN	anything
or	CC	or
even	RB	even
nothing	NN	nothing
.	SENT	.
No	DT	no
pressure	NN	pressure
.	SENT	.
Just	RB	just
vibes	NN	vibes
.	SENT	.
