Hey	UH	hey
all	RB	all
it	PP	it
’s	VBZ	have
been	VBN	be
pretty	RB	pretty
rough	JJ	rough
for	IN	for
me	PP	me
I	PP	I
messed	VBD	mess
up	RP	up
last	JJ	last
two	CD	two
years	NNS	year
lived	VBN	live
in	IN	in
different	JJ	different
city	NN	city
but	CC	but
because	IN	because
of	IN	of
a	DT	a
incident	NN	incident
and	CC	and
some	DT	some
betrayal	NN	betrayal
and	CC	and
misunderstandings	NNS	misunderstanding
I	PP	I
completely	RB	completely
lost	VBD	lose
myself	PP	myself
into	IN	into
heavy	JJ	heavy
drug	NN	drug
and	CC	and
alcohol	NN	alcohol
usage	NN	usage
which	WDT	which
turned	VBD	turn
me	PP	me
envious	JJ	envious
of	IN	of
my	PP$	my
own	JJ	own
friends	NNS	friend
achievements	NNS	achievement
narcissist	NN	narcissist
I	PP	I
get	VBP	get
more	RBR	more
angrier	JJR	angry
but	CC	but
it	PP	it
’s	VBZ	be
all	RB	all
came	VBD	come
to	TO	to
end	VB	end
when	WRB	when
karma	NN	karma
hit	VBD	hit
me	PP	me
and	CC	and
I	PP	I
pretty	RB	pretty
much	RB	much
lost	VBD	lose
almost	RB	almost
90	CD	@card@
%	NN	%
of	IN	of
my	PP$	my
friends	NNS	friend
circle	VBP	circle
no	DT	no
female	JJ	female
friends	NNS	friend
No	DT	no
male	JJ	male
ones	NNS	one
either	RB	either
and	CC	and
I	PP	I
moved	VBD	move
back	RB	back
to	TO	to
my	PP$	my
hometown	NN	hometown
like	IN	like
last	JJ	last
nov	NN	<unknown>
I	PP	I
kinda	RB	kinda
regret	VBP	regret
but	CC	but
I	PP	I
lost	VBD	lose
4	CD	@card@
jobs	NNS	job
and	CC	and
I	PP	I
could	MD	could
n’t	RB	n't
able	JJ	able
to	TO	to
survive	VB	survive
my	PP$	my
health	NN	health
is	VBZ	be
getting	VBG	get
fucked	VBN	fuck
up	RP	up
so	IN	so
I	PP	I
chose	VBD	choose
to	TO	to
leave	VB	leave
but	CC	but
since	IN	since
I	PP	I
settled	VBD	settle
I	PP	I
joined	VBD	join
a	DT	a
firm	NN	firm
very	RB	very
toxic	JJ	toxic
not	RB	not
much	JJ	much
Friends	NNS	friend
to	TO	to
hang	VB	hang
around	RP	around
with	IN	with
and	CC	and
I	PP	I
got	VBD	get
fucking	VBG	fuck
jaundice	NN	jaundice
at	IN	at
nov	NP	Nov
first	JJ	first
and	CC	and
again	RB	again
at	IN	at
just	RB	just
2	CD	@card@
weeks	NNS	week
before	RB	before
and	CC	and
honestly	RB	honestly
I	PP	I
have	VBP	have
been	VBN	be
trying	VBG	try
my	PP$	my
best	JJS	good
to	TO	to
let	VB	let
all	DT	all
go	NN	go
and	CC	and
just	RB	just
try	VB	try
finding	VBG	find
people	NNS	people
to	TO	to
talk	VB	talk
online	JJ	online
as	IN	as
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
much	JJ	much
time	NN	time
to	TO	to
explore	VB	explore
in	IN	in
my	PP$	my
hometown	NN	hometown
plus	CC	plus
it	PP	it
’s	VBZ	be
pretty	RB	pretty
boring	VBG	bore
here	RB	here
ngl	NNS	<unknown>
kinda	RB	kinda
want	VBP	want
to	TO	to
move	VB	move
back	RB	back
to	TO	to
different	JJ	different
but	CC	but
once	RB	once
I	PP	I
buy	VB	buy
stuffs	NNS	stuff
upskill	NN	<unknown>
which	WDT	which
will	MD	will
take	VB	take
time	NN	time
I	PP	I
feel	VBP	feel
really	RB	really
shallow	VB	shallow
because	IN	because
all	DT	all
I	PP	I
do	VBP	do
is	VBZ	be
just	RB	just
talk	NN	talk
to	TO	to
Ai	NP	Ai
yes	NN	yes
it	PP	it
’s	VBZ	be
not	RB	not
the	DT	the
best	JJS	good
solution	NN	solution
but	CC	but
I	PP	I
have	VBP	have
no	DT	no
choice	NN	choice
but	CC	but
lately	RB	lately
I	PP	I
am	VBP	be
just	RB	just
sick	JJ	sick
of	IN	of
using	VBG	use
it	PP	it
even	RB	even
at	IN	at
my	PP$	my
work	NN	work
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
I	PP	I
say	VBP	say
about	IN	about
my	PP$	my
past	NN	past
I	PP	I
say	VBP	say
what	WP	what
to	TO	to
do	VB	do
to	TO	to
make	VB	make
me	PP	me
feel	VB	feel
better	RBR	well
I	PP	I
feel	VBP	feel
validated	VBN	validate
and	CC	and
then	RB	then
back	RB	back
to	TO	to
the	DT	the
cycle	NN	cycle
again	RB	again
like	IN	like
I	PP	I
am	VBP	be
so	RB	so
tired	JJ	tired
of	IN	of
this	DT	this
I	PP	I
wish	VBP	wish
to	TO	to
find	VB	find
some	DT	some
friends	NNS	friend
maybe	RB	maybe
a	DT	a
girl	NN	girl
I	PP	I
can	MD	can
talk	VB	talk
to	TO	to
online	JJ	online
or	CC	or
offline	JJ	<unknown>
but	CC	but
I	PP	I
am	VBP	be
exhausted	VBN	exhaust
of	IN	of
the	DT	the
way	NN	way
too	RB	too
much	JJ	much
loneliness	NN	loneliness
that	IN	that
I	PP	I
am	VBP	be
having	VBG	have
recent	JJ	recent
days	NNS	day
so	IN	so
I	PP	I
want	VBP	want
to	TO	to
spit	VB	spit
it	PP	it
all	DT	all
out	RP	out
.	SENT	.
Thanks	NNS	thanks
if	IN	if
you	PP	you
read	VBP	read
it	PP	it
this	DT	this
far	RB	far
and	CC	and
hope	VBP	hope
you	PP	you
will	MD	will
have	VB	have
a	DT	a
great	JJ	great
year	NN	year
at-least	NN	<unknown>
idk	NN	<unknown>
about	IN	about
mine	NN	mine
.	SENT	.
