Hey	UH	hey
myself	PP	myself
hunter	NN	hunter
nice	JJ	nice
to	TO	to
meet	VB	meet
you	PP	you
I	PP	I
'm	VBP	be
new	JJ	new
here	RB	here
And	CC	and
I	PP	I
'm	VBP	be
34	RB	@card@
Feeling	VBG	feel
extremely	RB	extremely
lonely	JJ	lonely
and	CC	and
depressed	JJ	depressed
Been	NP	Been
living	VBG	live
alone	RB	alone
from	IN	from
the	DT	the
age	NN	age
of	IN	of
14	CD	@card@
No	DT	no
family	NN	family
no	DT	no
friends	NNS	friend
or	CC	or
companionship	NN	companionship
It	PP	it
's	VBZ	have
been	VBN	be
hard	RB	hard
recently	RB	recently
😔	JJ	<unknown>
