Hey	UH	hey
.	SENT	.
I	PP	I
’ve	VBP	have
been	VBN	be
struggling	VBG	struggle
with	IN	with
loneliness	NN	loneliness
for	IN	for
a	DT	a
while	NN	while
now	RB	now
and	CC	and
it	PP	it
’s	VBZ	have
been	VBN	be
tough	JJ	tough
.	SENT	.
I	PP	I
’ve	VBP	have
had	VBD	have
the	DT	the
longest	JJS	long
day	NN	day
today	NN	today
and	CC	and
I	PP	I
just	RB	just
got	VBD	get
home	NN	home
and	CC	and
let	VB	let
me	PP	me
tell	VB	tell
you.	JJ	<unknown>
.	SENT	.
I	PP	I
’m	NN	<unknown>
so	RB	so
glad	JJ	glad
that	IN	that
I	PP	I
’m	NN	<unknown>
all	RB	all
by	IN	by
myself	PP	myself
because	IN	because
I	PP	I
’m	NN	<unknown>
exhausted	VBN	exhaust
and	CC	and
I	PP	I
would	MD	would
n’t	RB	n't
want	VB	want
to	TO	to
be	VB	be
speaking	VBG	speak
to	TO	to
no	DT	no
one	CD	one
