Hey	UH	hey
guys	NNS	guy
I	PP	I
get	VBP	get
to	TO	to
know	VB	know
most	JJS	most
of	IN	of
people	NNS	people
are	VBP	be
super	JJ	super
lonely	JJ	lonely
.	SENT	.
They	PP	they
get	VBP	get
ghosted	VBN	ghost
with	IN	with
online	JJ	online
buddies	NNS	buddy
who	WP	who
can	MD	can
even	RB	even
give	VB	give
them	PP	them
the	DT	the
least	JJS	least
company	NN	company
.	SENT	.
But	CC	but
I	PP	I
made	VBD	make
an	DT	an
insta	NN	<unknown>
group	NN	group
of	IN	of
international	JJ	international
friends	NNS	friend
I	PP	I
hope	VBP	hope
that	IN	that
can	MD	can
reduce	VB	reduce
tha	NP	tha
loneliness	NN	loneliness
by	IN	by
chats	NNS	chat
maybe	RB	maybe
.	SENT	.
If	IN	if
you	PP	you
wish	VB	wish
being	VBG	be
there	RB	there
too	RB	too
just	RB	just
comment	NN	comment
or	CC	or
pm	NN	pm
me	PP	me
please	VBP	please
.	SENT	.
Aaahm	NP	<unknown>
age	NN	age
gap	NN	gap
is	VBZ	be
20-45	CD	@card@
any	DT	any
gender	NN	gender
I	PP	I
hope	VBP	hope
we	PP	we
can	MD	can
fight	VB	fight
this	DT	this
together	RB	together
.	SENT	.
