Hey	UH	hey
guys	NNS	guy
!	SENT	!
!	SENT	!
!	SENT	!
I	PP	I
am	VBP	be
a	DT	a
21	CD	@card@
year	NN	year
old	JJ	old
guy	NN	guy
,	,	,
i	NP	i
lost	VBD	lose
my	PP$	my
father	NN	father
when	WRB	when
i	NP	i
was	VBD	be
studying	VBG	study
3rd	JJ	3rd
,	,	,
My	PP$	my
mom	NN	mom
only	RB	only
raised	VBD	raise
me	PP	me
...	:	...
now	RB	now
i	NP	i
completed	VBD	complete
my	PP$	my
degree	NN	degree
(	(	(
bsc.viscom	NN	<unknown>
)	)	)
in	IN	in
a	DT	a
very	RB	very
worst	JJS	bad
college.	NN	<unknown>
.	SENT	.
NOW	RB	now
I	NP	I
WAS	NP	<unknown>
FINANCIALLY	NP	<unknown>
DOWN	NP	Down
!	SENT	!
I	PP	I
do	VBP	do
n't	RB	n't
have	VB	have
any	DT	any
skills	NNS	skill
to	TO	to
join	VB	join
a	DT	a
job	NN	job
!	SENT	!
!	SENT	!
4months	NNS	<unknown>
ago	RB	ago
i	NP	i
breakup	NN	breakup
with	IN	with
my	PP$	my
girl	NN	girl
...	:	...
now	RB	now
I	PP	I
'm	VBP	be
feeling	VBG	feel
lonely	JJ	lonely
,	,	,
afraid	JJ	afraid
about	IN	about
my	PP$	my
career	NN	career
,	,	,
i	NNS	i
do	VBP	do
n't	RB	n't
have	VB	have
any	DT	any
friends	NNS	friend
...	:	...
,	,	,
financial	JJ	financial
pressure	NN	pressure
,	,	,
ect	NN	<unknown>
...	:	...
.	SENT	.
Now	RB	now
i	NP	i
'm	VBP	be
feeling	VBG	feel
dying	VBG	die
is	VBZ	be
more	RBR	more
better	JJR	good
to	TO	to
live	VB	live
...	:	...
i	NNS	i
do	VBP	do
n't	RB	n't
have	VB	have
any	DT	any
hope	NN	hope
in	IN	in
my	PP$	my
life.	NN	<unknown>
.	SENT	.
now	RB	now
i	NP	i
'm	VBP	be
living	VBG	live
dead	RB	dead
...	:	...
.	SENT	.
