Hey	UH	hey
guys	NNS	guy
.	SENT	.
I	PP	I
’ve	VBP	have
realized	VBN	realize
how	WRB	how
lonely	JJ	lonely
I	PP	I
was	VBD	be
on	IN	on
Friday	NP	Friday
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
terrible	JJ	terrible
week	NN	week
and	CC	and
on	IN	on
Friday	NP	Friday
night	NN	night
I	PP	I
decided	VBD	decide
to	TO	to
call	VB	call
someone	NN	someone
to	TO	to
talk	VB	talk
about	IN	about
it	PP	it
.	SENT	.
That	DT	that
’s	VBZ	be
when	WRB	when
I	PP	I
realized	VBD	realize
I	PP	I
had	VBD	have
absolutely	RB	absolutely
no	RB	no
one	CD	one
to	TO	to
call	VB	call
.	SENT	.
Realizing	VBG	realize
that	DT	that
has	VBZ	have
been	VBN	be
quite	RB	quite
a	DT	a
shock	NN	shock
for	IN	for
me	PP	me
.	SENT	.
I	PP	I
’ve	VBP	have
been	VBN	be
in	IN	in
bed	NN	bed
all	DT	all
weekend	NN	weekend
trying	VBG	try
to	TO	to
understand	VB	understand
how	WRB	how
I	PP	I
got	VBD	get
here	RB	here
