Has	VBZ	have
anybody	NN	anybody
thought	VBN	think
about	IN	about
this	DT	this
?	SENT	?
I	PP	I
am	VBP	be
thinking	VBG	think
of	IN	of
saving	VBG	save
money	NN	money
,	,	,
getting	VBG	get
a	DT	a
piece	NN	piece
of	IN	of
land	NN	land
and	CC	and
just	RB	just
living	VBG	live
there	RB	there
off	IN	off
the	DT	the
food	NN	food
I	PP	I
grow	VBP	grow
.	SENT	.
I	PP	I
am	VBP	be
sick	JJ	sick
of	IN	of
this	DT	this
world	NN	world
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
be	VB	be
alone	RB	alone
.	SENT	.
