Hello	UH	hello
all	RB	all
.	SENT	.
I	PP	I
am	VBP	be
just	RB	just
gonna	VBG	gonna
come	VB	come
here	RB	here
and	CC	and
rant	VB	rant
a	DT	a
bit	NN	bit
because	IN	because
I	PP	I
am	VBP	be
feeling	VBG	feel
a	DT	a
bit	NN	bit
stressed	VBD	stress
.	SENT	.
I	PP	I
(	(	(
M16	NP	<unknown>
)	)	)
have	VBP	have
always	RB	always
been	VBN	be
a	DT	a
bit	NN	bit
struggled	VBN	struggle
with	IN	with
friends	NNS	friend
.	SENT	.
My	PP$	my
family	NN	family
tends	VBZ	tend
to	TO	to
move	VB	move
a	DT	a
lot	NN	lot
due	JJ	due
to	TO	to
low	JJ	low
funds	NNS	fund
,	,	,
and	CC	and
the	DT	the
times	NNS	time
I	PP	I
do	VBP	do
get	VB	get
to	TO	to
stay	VB	stay
somewhere	RB	somewhere
,	,	,
other	JJ	other
circumstances	NNS	circumstance
split	VBD	split
me	PP	me
up	RP	up
from	IN	from
people	NNS	people
I	PP	I
start	VBP	start
becoming	VBG	become
friends	NNS	friend
with	IN	with
.	SENT	.
Every	DT	every
single	JJ	single
year	NN	year
since	IN	since
kindergarten	NN	kindergarten
I	PP	I
have	VBP	have
lost	VBN	lose
my	PP$	my
best	JJS	good
friend	NN	friend
from	IN	from
either	DT	either
class	NN	class
separation	NN	separation
,	,	,
them	PP	them
moving	VBG	move
,	,	,
or	CC	or
myself	PP	myself
moving	VBG	move
.	SENT	.
Around	IN	around
6th	JJ	6th
grade	NN	grade
,	,	,
I	PP	I
gave	VBD	give
up	RP	up
on	IN	on
making	VBG	make
friends	NNS	friend
but	CC	but
still	RB	still
made	VBD	make
them	PP	them
anyway	RB	anyway
without	IN	without
much	JJ	much
effort	NN	effort
.	SENT	.
Even	RB	even
with	IN	with
that	DT	that
,	,	,
they	PP	they
still	RB	still
left	VBD	leave
every	DT	every
year	NN	year
.	SENT	.
Around	IN	around
this	DT	this
time	NN	time
I	PP	I
also	RB	also
started	VBD	start
getting	VBG	get
really	RB	really
involved	VBN	involve
online	JJ	online
.	SENT	.
I	PP	I
met	VBD	meet
some	DT	some
really	RB	really
toxic	JJ	toxic
people	NNS	people
just	RB	just
so	RB	so
I	PP	I
could	MD	could
have	VB	have
some	DT	some
people	NNS	people
to	TO	to
talk	VB	talk
to	TO	to
,	,	,
but	CC	but
they	PP	they
almost	RB	almost
have	VBP	have
"	``	"
ruined	VBN	ruin
"	''	"
me	PP	me
if	IN	if
I	PP	I
had	VBD	have
to	TO	to
describe	VB	describe
the	DT	the
situation	NN	situation
.	SENT	.
Nearly	RB	nearly
their	PP$	their
entire	JJ	entire
lives	NNS	life
revolved	VBN	revolve
around	IN	around
monetary	JJ	monetary
income	NN	income
and	CC	and
assets	NNS	asset
,	,	,
which	WDT	which
my	PP$	my
family	NN	family
does	VBZ	do
n't	RB	n't
have	VB	have
much	JJ	much
of	IN	of
.	SENT	.
They	PP	they
would	MD	would
tend	VB	tend
to	TO	to
not	RB	not
address	VB	address
me	PP	me
without	IN	without
some	DT	some
sort	NN	sort
of	IN	of
making	VBG	make
fun	NN	fun
of	IN	of
my	PP$	my
money	NN	money
or	CC	or
my	PP$	my
looks	NNS	look
.	SENT	.
Now	RB	now
its	PP$	its
hard	JJ	hard
to	TO	to
live	VB	live
my	PP$	my
life	NN	life
without	IN	without
constantly	RB	constantly
thinking	VBG	think
about	RB	about
how	WRB	how
wealthy	JJ	wealthy
or	CC	or
attractive	JJ	attractive
I	PP	I
look	VBP	look
,	,	,
and	CC	and
I	PP	I
hate	VBP	hate
it	PP	it
.	SENT	.
All	RB	all
it	PP	it
does	VBZ	do
is	VBZ	be
hurt	VB	hurt
me	PP	me
making	VBG	make
friends	NNS	friend
in	IN	in
the	DT	the
real	JJ	real
,	,	,
which	WDT	which
is	VBZ	be
hard	RB	hard
either	DT	either
way	NN	way
with	IN	with
COVID	NP	<unknown>
.	SENT	.
Idk	NP	<unknown>
,	,	,
it	PP	it
just	RB	just
seems	VBZ	seem
like	IN	like
the	DT	the
world	NN	world
is	VBZ	be
working	VBG	work
so	RB	so
hard	RB	hard
against	IN	against
me	PP	me
and	CC	and
it	PP	it
would	MD	would
be	VB	be
impossible	JJ	impossible
to	TO	to
overcome	VB	overcome
it	PP	it
.	SENT	.
All	RB	all
I	PP	I
want	VBP	want
is	VBZ	be
just	RB	just
someone	NN	someone
to	TO	to
depend	VB	depend
on	RP	on
or	CC	or
talk	VB	talk
to	TO	to
on	IN	on
occasion	NN	occasion
,	,	,
but	CC	but
it	PP	it
feels	VBZ	feel
like	IN	like
that	WDT	that
will	MD	will
never	RB	never
happen	VB	happen
since	IN	since
my	PP$	my
circumstances	NNS	circumstance
have	VBP	have
made	VBN	make
me	PP	me
such	JJ	such
a	DT	a
narcissistic	JJ	narcissistic
,	,	,
self-loathing	NN	self-loathing
,	,	,
uncaring	VBG	uncare
,	,	,
and	CC	and
boring	JJ	boring
individual	NN	individual
.	SENT	.
