Hey	UH	hey
everyone	NN	everyone
,	,	,
I	PP	I
am	VBP	be
in	IN	in
my	PP$	my
first	JJ	first
year	NN	year
of	IN	of
college	NN	college
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
’ve	VBP	have
ever	RB	ever
moved	VBN	move
away	RB	away
from	IN	from
home	NN	home
.	SENT	.
I	PP	I
was	VBD	be
honestly	RB	honestly
really	RB	really
looking	VBG	look
forward	RB	forward
to	TO	to
the	DT	the
holidays	NNS	holiday
so	IN	so
I	PP	I
could	MD	could
go	VB	go
back	RB	back
and	CC	and
stay	VB	stay
with	IN	with
my	PP$	my
parents	NNS	parent
for	IN	for
two	CD	two
weeks	NNS	week
.	SENT	.
I	PP	I
thought	VBD	think
I	PP	I
’d	MD	will
feel	VB	feel
refreshed	VBN	refresh
and	CC	and
happy	JJ	happy
being	JJ	being
back	NN	back
home	NN	home
.	SENT	.
But	CC	but
after	IN	after
just	RB	just
two	CD	two
days	NNS	day
there	RB	there
,	,	,
my	PP$	my
parents	NNS	parent
started	VBD	start
saying	VBG	say
things	NNS	thing
like	IN	like
,	,	,
“	``	"
When	WRB	when
are	VBP	be
you	PP	you
going	VBG	go
back	RB	back
?	SENT	?
What	WP	what
will	MD	will
you	PP	you
do	VB	do
staying	VBG	stay
here	RB	here
so	RB	so
long	JJ	long
?	SENT	?
The	DT	the
rent	NN	rent
is	VBZ	be
being	VBG	be
wasted	VBN	waste
since	IN	since
you	PP	you
’re	VBP	be
not	RB	not
staying	VBG	stay
there	RB	there
.	SENT	.
”	''	"
It	PP	it
made	VBD	make
me	PP	me
feel	VBP	feel
unwanted	JJ	unwanted
,	,	,
so	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
leave	VB	leave
earlier	RBR	earlier
and	CC	and
went	VBD	go
back	RB	back
after	IN	after
10	CD	@card@
days	NNS	day
.	SENT	.
Today	NN	today
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
talking	VBG	talk
to	TO	to
them	PP	them
,	,	,
I	PP	I
told	VBD	tell
them	PP	them
that	IN	that
maybe	RB	maybe
I	PP	I
’ll	JJ	<unknown>
just	RB	just
come	VBN	come
home	NN	home
next	JJ	next
year	NN	year
during	IN	during
the	DT	the
summer	NN	summer
holidays	NNS	holiday
instead	RB	instead
of	IN	of
winter	NN	winter
or	CC	or
festival	NN	festival
breaks	NNS	break
.	SENT	.
But	CC	but
then	RB	then
they	PP	they
said	VBD	say
something	NN	something
that	IN	that
really	RB	really
hurt	VBN	hurt
me	PP	me
things	NNS	thing
like	VBP	like
,	,	,
“	``	"
What	WP	what
’s	VBZ	be
the	DT	the
point	NN	point
of	IN	of
coming	VBG	come
for	IN	for
one	CD	one
month	NN	month
?	SENT	?
The	DT	the
rent	NN	rent
will	MD	will
be	VB	be
wasted	VBN	waste
again	RB	again
,	,	,
and	CC	and
the	DT	the
train	NN	train
ticket	NN	ticket
money	NN	money
too	RB	too
.	SENT	.
Just	RB	just
stay	VB	stay
there	RB	there
and	CC	and
eat	VB	eat
from	IN	from
the	DT	the
mess	NN	mess
instead	RB	instead
.	SENT	.
”	''	"
I	PP	I
get	VBP	get
that	IN	that
they	PP	they
’re	VBP	be
being	VBG	be
practical	JJ	practical
and	CC	and
thinking	VBG	think
about	IN	about
saving	VBG	save
money	NN	money
I	PP	I
do	VBP	do
n’t	RB	n't
blame	VB	blame
them	PP	them
for	IN	for
that	DT	that
.	SENT	.
But	CC	but
it	PP	it
still	RB	still
makes	VBZ	make
me	PP	me
feel	VBP	feel
really	RB	really
sad	JJ	sad
.	SENT	.
My	PP$	my
home	NN	home
and	CC	and
my	PP$	my
parents	NNS	parent
used	VBN	use
to	TO	to
be	VB	be
my	PP$	my
comfort	NN	comfort
zone	NN	zone
.	SENT	.
And	CC	and
now	RB	now
it	PP	it
feels	VBZ	feel
like	IN	like
they	PP	they
do	VBP	do
n’t	RB	n't
even	RB	even
want	VB	want
me	PP	me
there	RB	there
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
anyone	NN	anyone
else	RB	else
in	IN	in
this	DT	this
new	JJ	new
city	NN	city
no	DT	no
friends	NNS	friend
,	,	,
no	RB	no
one	CD	one
to	TO	to
really	RB	really
talk	VB	talk
to	TO	to
and	CC	and
hearing	VBG	hear
things	NNS	thing
like	IN	like
this	DT	this
from	IN	from
the	DT	the
only	JJ	only
people	NNS	people
I	PP	I
have	VBP	have
in	IN	in
this	DT	this
world	NN	world
just	RB	just
breaks	VBZ	break
me	PP	me
inside	RB	inside
.	SENT	.
Has	VBZ	have
anyone	NN	anyone
else	RB	else
felt	VBD	feel
something	NN	something
like	IN	like
this	DT	this
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
deal	VB	deal
with	IN	with
it	PP	it
when	WRB	when
home	NN	home
does	VBZ	do
n’t	RB	n't
feel	VB	feel
like	IN	like
home	NN	home
anymore	RB	anymore
?	SENT	?
