Has	VBZ	have
anyone	NN	anyone
accepted	VBD	accept
the	DT	the
fact	NN	fact
that	IN	that
they	PP	they
are	VBP	be
inherently	RB	inherently
completely	RB	completely
alone	RB	alone
?	SENT	?
Romantically	RB	romantically
,	,	,
platonically	RB	Platonically
etc.	NN	etc.
Even	RB	even
when	WRB	when
I	PP	I
am	VBP	be
with	IN	with
my	PP$	my
absolute	JJ	absolute
most	JJS	most
favourite	JJ	favourite
people	NNS	people
who	WP	who
give	VBP	give
me	PP	me
so	RB	so
much	RB	much
love	VBP	love
I	PP	I
ca	MD	ca
n’t	RB	n't
help	VB	help
but	CC	but
look	VB	look
away	RP	away
into	IN	into
the	DT	the
distance	NN	distance
and	CC	and
still	RB	still
feel	VB	feel
the	DT	the
absolute	JJ	absolute
void	NN	void
that	IN	that
I	PP	I
am	VBP	be
alone	RB	alone
and	CC	and
may	MD	may
feel	VB	feel
this	DT	this
depth	NN	depth
of	IN	of
loneliness	NN	loneliness
as	RB	as
long	RB	long
as	IN	as
I	PP	I
live	VBP	live
,	,	,
regardless	RB	regardless
of	IN	of
the	DT	the
love	NN	love
or	CC	or
lack	NN	lack
there	RB	there
of	IN	of
that	IN	that
I	PP	I
receive	VBP	receive
.	SENT	.
Can	MD	can
anyone	NN	anyone
relate	VBP	relate
?	SENT	?
