Hey	UH	hey
everyone	NN	everyone
,	,	,
I	PP	I
’ve	VBP	have
been	VBN	be
through	IN	through
the	DT	the
ringer	NN	ringer
with	IN	with
"	``	"
support	NN	support
"	''	"
lately—psychologists	NNS	<unknown>
who	WP	who
seem	VBP	seem
to	TO	to
stretch	VB	stretch
sessions	NNS	session
to	TO	to
waste	VB	waste
time	NN	time
,	,	,
and	CC	and
gurus	NNS	guru
who	WP	who
just	RB	just
want	VBP	want
to	TO	to
sell	VB	sell
expensive	JJ	expensive
courses	NNS	course
.	SENT	.
It	PP	it
made	VBD	make
me	PP	me
feel	VBP	feel
like	IN	like
my	PP$	my
struggles	NNS	struggle
were	VBD	be
just	RB	just
a	DT	a
transaction	NN	transaction
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
offer	VB	offer
the	DT	the
opposite	NN	opposite
.	SENT	.
I	PP	I
’m	NN	<unknown>
looking	VBG	look
to	TO	to
be	VB	be
a	DT	a
listener	NN	listener
for	IN	for
a	DT	a
few	JJ	few
people	NNS	people
who	WP	who
need	VBP	need
to	TO	to
drop	VB	drop
the	DT	the
mask	NN	mask
.	SENT	.
I	PP	I
’m	NN	<unknown>
not	RB	not
a	DT	a
professional	JJ	professional
or	CC	or
a	DT	a
guru	NN	guru
,	,	,
just	RB	just
someone	NN	someone
who	WP	who
values	VBZ	value
real	JJ	real
human	JJ	human
presence	NN	presence
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
on	IN	on
many	JJ	many
platforms	NNS	platform
,	,	,
you	PP	you
might	MD	might
still	RB	still
get	VB	get
ignored	VBN	ignore
even	RB	even
when	WRB	when
you	PP	you
open	VBP	open
up	RP	up
.	SENT	.
In	IN	in
this	DT	this
Discord	NP	<unknown>
space	NN	space
I	PP	I
've	VBP	have
created	VBN	create
,	,	,
I	PP	I
am	VBP	be
willing	JJ	willing
to	TO	to
listen	VB	listen
and	CC	and
respond	VB	respond
to	TO	to
each	DT	each
one	CD	one
of	IN	of
you	PP	you
personally	RB	personally
.	SENT	.
**How	RB	<unknown>
I	PP	I
do	VBP	do
this:**	NN	<unknown>
I	PP	I
use	VBP	use
a	DT	a
private	JJ	private
Discord	NP	<unknown>
setup	NN	setup
where	WRB	where
we	PP	we
can	MD	can
talk	VB	talk
1-on-1	JJ	<unknown>
using	VBG	use
a	DT	a
text	NN	text
channel	NN	channel
.	SENT	.
It	PP	it
’s	VBZ	be
completely	RB	completely
anonymous	JJ	anonymous
,	,	,
and	CC	and
a	DT	a
bot	NN	bot
will	MD	will
delete	VB	delete
the	DT	the
conversation	NN	conversation
afterward	RB	afterward
so	RB	so
you	PP	you
can	MD	can
leave	VB	leave
your	PP$	your
baggage	NN	baggage
there	RB	there
and	CC	and
walk	VB	walk
away	RP	away
with	IN	with
no	DT	no
trace	NN	trace
left	VBD	leave
behind	RB	behind
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
fix	VB	fix
you	PP	you
or	CC	or
judge	VB	judge
you	PP	you
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
listen	VB	listen
.	SENT	.
It	PP	it
’s	VBZ	be
100	CD	@card@
%	NN	%
free	NN	free
(	(	(
I	PP	I
have	VBP	have
an	DT	an
optional	JJ	optional
donation	NN	donation
link	NN	link
for	IN	for
the	DT	the
server	NN	server
costs	NNS	cost
,	,	,
but	CC	but
I	PP	I
honestly	RB	honestly
do	VBP	do
n't	RB	n't
expect	VB	expect
or	CC	or
require	VB	require
it—the	NN	<unknown>
connection	NN	connection
is	VBZ	be
what	WP	what
matters	VBZ	matter
to	TO	to
me	PP	me
)	)	)
.	SENT	.
If	IN	if
you	PP	you
’re	VBP	be
feeling	VBG	feel
overwhelmed	JJ	overwhelmed
or	CC	or
just	RB	just
need	VBP	need
to	TO	to
be	VB	be
heard	VBN	hear
by	IN	by
a	DT	a
real	JJ	real
person	NN	person
,	,	,
please	VB	please
**send	VB	<unknown>
me	PP	me
a	DT	a
DM	NP	DM
or	CC	or
chat.**	NN	<unknown>
I	PP	I
’ll	RB	<unknown>
send	VBP	send
you	PP	you
the	DT	the
info	NN	info
to	TO	to
connect	VB	connect
.	SENT	.
