Hey	UH	hey
everyone	NN	everyone
,	,	,
I	PP	I
’m	NN	<unknown>
working	VBG	work
with	IN	with
a	DT	a
small	JJ	small
team	NN	team
on	IN	on
an	DT	an
evidence-based	JJ	<unknown>
app	NN	<unknown>
designed	VBN	design
to	TO	to
help	VB	help
people	NNS	people
build	VB	build
deeper	JJR	deep
friendships	NNS	friendship
and	CC	and
overcome	VB	overcome
loneliness	NN	loneliness
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
we	PP	we
’re	VBP	be
looking	VBG	look
for	IN	for
people	NNS	people
willing	JJ	willing
to	TO	to
try	VB	try
a	DT	a
short	JJ	short
module	NN	module
of	IN	of
our	PP$	our
app	NNS	<unknown>
and	CC	and
share	VB	share
their	PP$	their
honest	JJ	honest
feedback	NN	feedback
.	SENT	.
The	DT	the
session	NN	session
takes	VBZ	take
around	IN	around
10–15	JJ	<unknown>
minutes	NNS	minute
,	,	,
all	DT	all
online	JJ	online
and	CC	and
easy	JJ	easy
to	TO	to
do	VB	do
from	IN	from
wherever	WRB	wherever
you	PP	you
are	VBP	be
by	IN	by
filling	VBG	fill
a	DT	a
form	NN	form
.	SENT	.
While	IN	while
we	PP	we
ca	MD	ca
n’t	RB	n't
offer	VB	offer
payment	NN	payment
,	,	,
everyone	NN	everyone
who	WP	who
participates	VBZ	participate
will	MD	will
be	VB	be
entered	VBN	enter
into	IN	into
a	DT	a
raffle	NN	raffle
for	IN	for
a	DT	a
$20	JJ	<unknown>
Amazon	NP	Amazon
gift	NN	gift
card	NN	card
as	IN	as
a	DT	a
thank	VBP	thank
you	PP	you
.	SENT	.
If	IN	if
you	PP	you
’re	VBP	be
interested	JJ	interested
,	,	,
just	JJ	just
DM	NP	DM
me	PP	me
for	IN	for
instructions	NNS	instruction
.	SENT	.
Just	RB	just
bring	VB	bring
yourself	PP	yourself
and	CC	and
your	PP$	your
honest	JJ	honest
thoughts	NNS	thought
.	SENT	.
Everything	NN	everything
you	PP	you
share	VBP	share
is	VBZ	be
confidential	JJ	confidential
.	SENT	.
Your	PP$	your
input	NN	input
will	MD	will
help	VB	help
us	PP	us
build	VB	build
a	DT	a
tool	NN	tool
that	WDT	that
could	MD	could
make	VB	make
a	DT	a
real	JJ	real
difference	NN	difference
for	IN	for
people	NNS	people
feeling	VBG	feel
isolated	VBN	isolate
.	SENT	.
Thanks	NNS	thanks
for	IN	for
reading	NN	reading
.	SENT	.
