Hey	UH	hey
I	PP	I
(	(	(
M29	NP	<unknown>
)	)	)
just	RB	just
wanted	VBD	want
to	TO	to
say	VB	say
I	PP	I
'm	VBP	be
deeply	RB	deeply
lonely	JJ	lonely
and	CC	and
sad	JJ	sad
.	SENT	.
Does	VBZ	do
anyone	NN	anyone
want	VB	want
to	TO	to
be	VB	be
best	JJS	good
friends	NNS	friend
with	IN	with
me	PP	me
?	SENT	?
Selfless	JJ	selfless
best	JJS	good
friends	NNS	friend
who	WP	who
would	MD	would
like	VB	like
to	TO	to
chat	VB	chat
with	IN	with
me	PP	me
I	PP	I
'd	MD	will
love	VB	love
to	TO	to
text	NN	text
and	CC	and
call	VB	call
and	CC	and
talk	VB	talk
as	RB	as
though	IN	though
there	EX	there
's	VBZ	be
nothing	NN	nothing
else	RB	else
in	IN	in
the	DT	the
world	NN	world
,	,	,
no	DT	no
greed	NN	greed
,	,	,
no	DT	no
people	NNS	people
,	,	,
no	DT	no
badness	NN	badness
,	,	,
etc	FW	etc
...	:	...
hopefully	RB	hopefully
I	PP	I
'm	VBP	be
not	RB	not
expecting	VBG	expect
too	RB	too
much	JJ	much
😢😢	NN	<unknown>
