Hey	UH	hey
,	,	,
I	PP	I
'm	VBP	be
24	CD	@card@
F.	NP	F.
I	PP	I
've	VBP	have
always	RB	always
been	VBN	be
kind	NN	kind
of	IN	of
introvert	NN	introvert
,	,	,
never	RB	never
had	VBD	have
many	JJ	many
friends	NNS	friend
.	SENT	.
With	IN	with
the	DT	the
new	JJ	new
job	NN	job
,	,	,
new	JJ	new
city	NN	city
,	,	,
feels	VBZ	feel
lonely	JJ	lonely
a	DT	a
lot	NN	lot
.	SENT	.
Just	RB	just
want	VBP	want
someone	NN	someone
to	TO	to
share	VB	share
my	PP$	my
thoughts	NNS	thought
and	CC	and
day	NN	day
with	IN	with
.	SENT	.
To	TO	to
know	VB	know
someone	NN	someone
.	SENT	.
Kind	RB	kind
of	IN	of
want	VB	want
to	TO	to
start	VB	start
afresh	RB	afresh
.	SENT	.
So	RB	so
I	PP	I
'd	MD	will
love	VB	love
to	TO	to
make	VB	make
some	DT	some
wholesome	JJ	wholesome
connections	NNS	connection
.	SENT	.
