Hey	UH	hey
guys	NNS	guy
,	,	,
I	PP	I
just	RB	just
built	VBD	build
a	DT	a
little	JJ	little
web-app	NN	<unknown>
that	WDT	that
shows	VBZ	show
other	JJ	other
lonely	JJ	lonely
souls	NNS	soul
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
[	SYM	[
http://lonelyworld.info](http://lonelyworld.info)	NN	<unknown>
The	DT	the
locations	NNS	location
are	VBP	be
reported	VBN	report
anonymously	RB	anonymously
(	(	(
you	PP	you
can	MD	can
share	VB	share
your	PP$	your
location	NN	location
,	,	,
too	RB	too
)	)	)
.	SENT	.
The	DT	the
idea	NN	idea
is	VBZ	be
,	,	,
if	IN	if
you	PP	you
feel	VBP	feel
lonely	JJ	lonely
,	,	,
it	PP	it
might	MD	might
help	VB	help
to	TO	to
see	VB	see
that	IN	that
there	EX	there
are	VBP	be
other	JJ	other
lonely	JJ	lonely
people	NNS	people
out	IN	out
there	EX	there
who	WP	who
feel	VBP	feel
the	DT	the
same	JJ	same
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
forever	RB	forever
lonely	JJ	lonely
,	,	,
but	CC	but
just	RB	just
have	VBP	have
n't	RB	n't
found	VBN	find
the	DT	the
right	JJ	right
people	NNS	people
to	TO	to
be	VB	be
with	IN	with
,	,	,
who	WP	who
may	MD	may
be	VB	be
half-way	JJ	half-way
across	IN	across
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
suffered	VBD	suffer
from	IN	from
loneliness	NN	loneliness
which	WDT	which
almost	RB	almost
became	VBD	become
depression	NN	depression
during	IN	during
my	PP$	my
PhD	NN	<unknown>
about	IN	about
5	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
I	PP	I
am	VBP	be
in	IN	in
a	DT	a
much	RB	much
better	JJR	good
state	NN	state
now	RB	now
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
my	PP$	my
part	NN	part
to	TO	to
help	VB	help
out	RP	out
other	JJ	other
souls	NNS	soul
out	IN	out
there	EX	there
who	WP	who
might	MD	might
be	VB	be
going	VBG	go
through	IN	through
what	WP	what
I	PP	I
went	VBD	go
through	RP	through
.	SENT	.
Cheers	NNS	cheer
.	SENT	.
