Hey	UH	hey
.	SENT	.
Not	RB	not
really	RB	really
sure	JJ	sure
why	WRB	why
I	PP	I
’m	NN	<unknown>
posting	VBG	post
this	DT	this
,	,	,
but	CC	but
I	PP	I
guess	VBP	guess
I	PP	I
just	RB	just
need	VBP	need
to	TO	to
get	VB	get
it	PP	it
out	RP	out
.	SENT	.
I	PP	I
’m	NP	<unknown>
24	CD	@card@
,	,	,
and	CC	and
lately	RB	lately
I	PP	I
’ve	VBP	have
been	VBN	be
feeling	VBG	feel
really	RB	really
lonely	JJ	lonely
.	SENT	.
Not	RB	not
just	RB	just
“	``	"
I	PP	I
want	VBP	want
company	NN	company
”	''	"
lonely	JJ	lonely
,	,	,
but	CC	but
that	DT	that
quiet	JJ	quiet
feeling	NN	feeling
like	IN	like
you	PP	you
have	VBP	have
n’t	RB	n't
really	RB	really
done	VBN	do
anything	NN	anything
meaningful	JJ	meaningful
yet	RB	yet
.	SENT	.
From	IN	from
the	DT	the
outside	NN	outside
,	,	,
everything	NN	everything
probably	RB	probably
looks	VBZ	look
fine	NN	fine
.	SENT	.
I	PP	I
work	VBP	work
,	,	,
I	PP	I
try	VBP	try
,	,	,
I	PP	I
keep	VBP	keep
going	VBG	go
.	SENT	.
But	CC	but
inside	IN	inside
it	PP	it
feels	VBZ	feel
like	IN	like
I	PP	I
’m	NN	<unknown>
standing	VBG	stand
still	RB	still
while	IN	while
everyone	NN	everyone
else	RB	else
is	VBZ	be
moving	VBG	move
forward	RB	forward
.	SENT	.
Careers	NNS	career
,	,	,
relationships	NNS	relationship
,	,	,
confidence	NN	confidence
…	NN	<unknown>
it	PP	it
feels	VBZ	feel
like	IN	like
I	PP	I
missed	VBD	miss
some	DT	some
kind	NN	kind
of	IN	of
memo	NN	memo
everyone	NN	everyone
else	RB	else
got	VBD	get
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
even	RB	even
know	VB	know
what	WP	what
I	PP	I
’m	NN	<unknown>
supposed	VBN	suppose
to	TO	to
feel	VB	feel
proud	JJ	proud
of	IN	of
.	SENT	.
Some	DT	some
days	NNS	day
it	PP	it
’s	VBZ	be
hard	JJ	hard
to	TO	to
tell	VB	tell
if	IN	if
I	PP	I
’m	NN	<unknown>
actually	RB	actually
building	VBG	build
something	NN	something
,	,	,
or	CC	or
just	RB	just
distracting	VBG	distract
myself	PP	myself
from	IN	from
the	DT	the
feeling	NN	feeling
that	IN	that
time	NN	time
is	VBZ	be
passing	VBG	pass
.	SENT	.
I	PP	I
’m	NN	<unknown>
not	RB	not
looking	VBG	look
for	IN	for
pity	NN	pity
or	CC	or
attention	NN	attention
.	SENT	.
Just	RB	just
wanted	VBD	want
to	TO	to
be	VB	be
honest	JJ	honest
for	IN	for
a	DT	a
second	NN	second
.	SENT	.
If	IN	if
anyone	NN	anyone
else	RB	else
feels	VBZ	feel
like	IN	like
this	DT	this
,	,	,
you	PP	you
’re	VBP	be
not	RB	not
alone	RB	alone
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
’ve	VBP	have
been	VBN	be
here	RB	here
before	RB	before
and	CC	and
got	VBD	get
through	IN	through
it	PP	it
,	,	,
I	PP	I
’d	MD	will
honestly	RB	honestly
like	VB	like
to	TO	to
hear	VB	hear
how	WRB	how
.	SENT	.
Thanks	NNS	thanks
for	IN	for
reading	VBG	read
