Hey	UH	hey
.	SENT	.
I	PP	I
dont	VBP	<unknown>
have	VB	have
many	JJ	many
friend	NN	friend
because	IN	because
I	PP	I
cant	VBP	cant
create	VB	create
small	JJ	small
talks	NNS	talk
.	SENT	.
I	PP	I
will	MD	will
start	VB	start
the	DT	the
conversation	NN	conversation
only	RB	only
to	TO	to
people	NNS	people
that	IN	that
im	NP	im
comfortable	JJ	comfortable
with	IN	with
.	SENT	.
I	PP	I
rarely	RB	rarely
mix	VB	mix
around	RB	around
and	CC	and
just	RB	just
talk	VB	talk
to	TO	to
others	NNS	other
if	IN	if
they	PP	they
approached	VBD	approach
me	PP	me
first	JJ	first
.	SENT	.
Sometimes	RB	sometimes
I	PP	I
dont	VBP	<unknown>
even	RB	even
understand	VB	understand
myself	PP	myself
.	SENT	.
I	PP	I
know	VBP	know
I	PP	I
have	VBP	have
to	TO	to
make	VB	make
new	JJ	new
friends	NNS	friend
but	CC	but
I	PP	I
just	RB	just
cant	VBP	cant
bring	VB	bring
myself	PP	myself
to	TO	to
talk	VB	talk
to	TO	to
them	PP	them
first	JJ	first
.	SENT	.
Hence	RB	hence
,	,	,
I	PP	I
always	RB	always
feel	VBP	feel
like	IN	like
i	NP	i
have	VBP	have
no	RB	no
one	CD	one
for	IN	for
me	PP	me
when	WRB	when
Im	NP	Im
sad	JJ	sad
.	SENT	.
