Hey	UH	hey
,	,	,
I	PP	I
alway	RB	<unknown>
were	VBD	be
very	RB	very
introverted	VBN	introvert
.	SENT	.
Lost	VBD	lose
most	JJS	most
of	IN	of
my	PP$	my
friends	NNS	friend
from	IN	from
school	NN	school
by	IN	by
now	RB	now
.	SENT	.
I	PP	I
feel	VBP	feel
lonely	JJ	lonely
a	DT	a
lot	NN	lot
.	SENT	.
Just	RB	just
want	VBP	want
someone	NN	someone
to	TO	to
share	VB	share
my	PP$	my
thoughts	NNS	thought
and	CC	and
my	PP$	my
day	NN	day
with	IN	with
.	SENT	.
Not	RB	not
sure	JJ	sure
what	WP	what
else	RB	else
to	TO	to
add	VB	add
tbh	NN	<unknown>
So	IN	so
I	PP	I
'd	MD	will
love	VB	love
to	TO	to
make	VB	make
some	DT	some
wholesome	JJ	wholesome
connections	NNS	connection
.	SENT	.
