Hey	UH	hey
,	,	,
I	PP	I
've	VBP	have
never	RB	never
posted	VBN	post
on	IN	on
something	NN	something
like	IN	like
this	DT	this
before	IN	before
.	SENT	.
Sorry	RB	sorry
if	IN	if
something	NN	something
is	VBZ	be
wrong	JJ	wrong
,	,	,
please	VB	please
direct	VB	direct
me	PP	me
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
.	SENT	.
That	DT	that
's	VBZ	be
all	DT	all
I	PP	I
'm	VBP	be
really	RB	really
asking	VBG	ask
for	IN	for
I	PP	I
guess	VBP	guess
.	SENT	.
Direction	NN	direction
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
have	VB	have
many	JJ	many
friends	NNS	friend
anymore	RB	anymore
,	,	,
and	CC	and
I	PP	I
recognize	VBP	recognize
my	PP$	my
role	NN	role
in	IN	in
that	DT	that
.	SENT	.
There	EX	there
just	RB	just
is	VBZ	be
n't	RB	n't
much	RB	much
I	PP	I
know	VBP	know
of	IN	of
to	TO	to
do	VB	do
about	IN	about
it	PP	it
,	,	,
nor	CC	nor
do	VBP	do
I	PP	I
seemingly	RB	seemingly
have	VBP	have
the	DT	the
initiative	NN	initiative
to	TO	to
pull	VB	pull
it	PP	it
off	RP	off
,	,	,
which	WDT	which
again	RB	again
I	PP	I
recognize	VBP	recognize
my	PP$	my
part	NN	part
in	RP	in
.	SENT	.
Now	RB	now
I	PP	I
sound	VBP	sound
like	IN	like
someone	NN	someone
complaining	VBG	complain
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
it	PP	it
without	IN	without
wanting	VBG	want
to	TO	to
anything	NN	anything
about	IN	about
it	PP	it
.	SENT	.
Maybe	RB	maybe
I	PP	I
am	VBP	be
.	SENT	.
To	TO	to
be	VB	be
honest	JJ	honest
though	RB	though
,	,	,
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
deserve	VBP	deserve
a	DT	a
good	JJ	good
complaint	NN	complaint
though	RB	though
.	SENT	.
I	PP	I
've	VBP	have
been	VBN	be
bottling	VBG	bottle
everything	NN	everything
up	RP	up
while	IN	while
trying	VBG	try
to	TO	to
stay	VB	stay
positive	JJ	positive
,	,	,
and	CC	and
the	DT	the
ones	NNS	one
I	PP	I
have	VBP	have
tried	VBN	try
talking	VBG	talk
to	TO	to
seemingly	RB	seemingly
do	VBP	do
n't	RB	n't
understand	VB	understand
it	PP	it
the	DT	the
way	NN	way
I	PP	I
do	VBP	do
,	,	,
which	WDT	which
I	PP	I
ca	MD	ca
n't	RB	n't
blame	VB	blame
them	PP	them
for	IN	for
,	,	,
everyone	NN	everyone
has	VBZ	have
their	PP$	their
own	JJ	own
experience	NN	experience
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
words	NNS	word
to	TO	to
say	VB	say
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
thoughts	NNS	thought
in	IN	in
my	PP$	my
head	NN	head
.	SENT	.
A	DT	a
lot	NN	lot
.	SENT	.
Good	JJ	good
and	CC	and
bad	JJ	bad
.	SENT	.
I	PP	I
've	VBP	have
just	RB	just
not	RB	not
been	VBN	be
of	IN	of
value	NN	value
to	TO	to
anyone	NN	anyone
lately	RB	lately
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
I	PP	I
ca	MD	ca
n't	RB	n't
expect	VB	expect
that	IN	that
from	IN	from
anyone	NN	anyone
necessarily	RB	necessarily
,	,	,
everyone	NN	everyone
has	VBZ	have
their	PP$	their
own	JJ	own
life	NN	life
going	VBG	go
on	IN	on
.	SENT	.
But	CC	but
that	DT	that
does	VBZ	do
n't	RB	n't
mean	VB	mean
it	PP	it
is	VBZ	be
n't	RB	n't
lonely	JJ	lonely
sometimes	RB	sometimes
.	SENT	.
Honestly	RB	honestly
,	,	,
I	PP	I
'm	VBP	be
fine	JJ	fine
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
.	SENT	.
I	PP	I
just	RB	just
have	VBP	have
moments	NNS	moment
like	VB	like
this	DT	this
where	WRB	where
I	PP	I
just	RB	just
wish	VBP	wish
to	TO	to
be	VB	be
heard	VBN	hear
.	SENT	.
Or	CC	or
held	VBN	hold
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
remember	VB	remember
the	DT	the
last	JJ	last
time	NN	time
I	PP	I
was	VBD	be
.	SENT	.
I	PP	I
'm	VBP	be
on	IN	on
the	DT	the
road	NN	road
to	TO	to
recovery	NN	recovery
.	SENT	.
I	PP	I
know	VBP	know
I	PP	I
am	VBP	be
.	SENT	.
That	DT	that
's	VBZ	be
what	WP	what
makes	VBZ	make
it	PP	it
so	RB	so
hard	JJ	hard
.	SENT	.
Knowing	VBG	know
I	PP	I
'm	VBP	be
going	VBG	go
to	TO	to
recover	VB	recover
without	IN	without
my	PP$	my
old	JJ	old
friends	NNS	friend
.	SENT	.
Knowing	VBG	know
they	PP	they
wo	MD	wo
n't	RB	n't
get	VB	get
to	TO	to
see	VB	see
me	PP	me
happy	JJ	happy
.	SENT	.
Knowing	VBG	know
that	IN	that
when	WRB	when
I	PP	I
do	VBP	do
have	VB	have
an	DT	an
off	JJ	off
day	NN	day
like	IN	like
today	NN	today
,	,	,
they	PP	they
are	VBP	be
n't	RB	n't
there	RB	there
to	TO	to
support	VB	support
