Hello	UH	hello
everyone	NN	everyone
,	,	,
I	PP	I
'm	VBP	be
trying	VBG	try
to	TO	to
give	VB	give
out	RP	out
some	DT	some
'	''	'
hope	NN	hope
'	''	'
for	IN	for
everyone	NN	everyone
,	,	,
I	PP	I
have	VBP	have
ended	VBN	end
up	RP	up
on	IN	on
elevating	VBG	elevate
my	PP$	my
mind	NN	mind
,	,	,
and	CC	and
I	PP	I
have	VBP	have
figured	VBN	figure
out	RP	out
how	WRB	how
to	TO	to
imagine	VB	imagine
everything	NN	everything
the	DT	the
right	JJ	right
way.	NN	<unknown>
.	SENT	.
I	PP	I
'm	VBP	be
not	RB	not
sad	JJ	sad
that	IN	that
I	PP	I
got	VBD	get
lonely	JJ	lonely
anymore.	NN	<unknown>
.	SENT	.
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
wondering	VBG	wonder
if	IN	if
loneliness	NN	loneliness
gets	VBZ	get
'	''	'
better	JJR	good
'	''	'
here	RB	here
,	,	,
it	PP	it
might	MD	might
does	VBZ	do
end	VB	end
up	RP	up
on	IN	on
getting	VBG	get
better	JJR	good
by	IN	by
the	DT	the
end.	NN	<unknown>
.	SENT	.
you	PP	you
do	VBP	do
n't	RB	n't
have	VB	have
to	TO	to
trade	VB	trade
your	PP$	your
cards	NNS	card
for	IN	for
my	PP$	my
dark	JJ	dark
magician	NN	magician
one	CD	one
:	:	:
)	)	)
I	PP	I
have	VBP	have
reached	VBN	reach
the	DT	the
peak	JJ	peak
lands	NNS	land
of	IN	of
imagination	NN	imagination
,	,	,
and	CC	and
I	PP	I
'm	VBP	be
not	RB	not
'	''	'
sad	JJ	sad
'	''	'
in	IN	in
any-way	NN	<unknown>
shape	NN	shape
or	CC	or
form	NN	form
anymore.	NN	<unknown>
.	SENT	.
loneliness	NN	loneliness
is	VBZ	be
just	RB	just
a	DT	a
temporary	JJ	temporary
phase	NN	phase
here	RB	here
.	SENT	.
can	MD	can
you	PP	you
imagine	VB	imagine
it	PP	it
?	SENT	?
it	PP	it
feels	VBZ	feel
like	IN	like
heaven	NN	heaven
lol	NN	<unknown>
.	SENT	.
:	:	:
)	)	)
without	IN	without
diving	VBG	dive
too	RB	too
deep	JJ	deep
into	IN	into
"	``	"
WTF	NP	<unknown>
"	''	"
territory	NN	territory
heaven	NN	heaven
is	VBZ	be
a	DT	a
real	JJ	real
place	NN	place
that	WDT	that
can	MD	can
be	VB	be
found	VBN	find
'	''	'
alone	RB	alone
'	''	'
here	RB	here
:P	VBP	<unknown>
I	PP	I
'm	VBP	be
genuinely	RB	genuinely
not	RB	not
really	RB	really
JoKing	JJ	<unknown>
,	,	,
and	CC	and
I	PP	I
'd	MD	will
go	VB	go
through	IN	through
everything	NN	everything
again	RB	again
just	RB	just
to	TO	to
experience	VB	experience
this	DT	this
literally	RB	literally
lol.	JJ	<unknown>
.	SENT	.
you	PP	you
do	VBP	do
n't	RB	n't
have	VB	have
to	TO	to
know	VB	know
what	WP	what
's	VBZ	be
up	RB	up
with	IN	with
me	PP	me
though.	VBZ	<unknown>
.	SENT	.
;	:	;
p	NN	p
Thank	VB	thank
God	NP	God
everyone	NN	everyone
left	VBD	leave
me	PP	me
alone	RB	alone
.	SENT	.
