Hey	UH	hey
y'all	NN	<unknown>
,	,	,
My	PP$	my
name	NN	name
is	VBZ	be
Cambria	NP	Cambria
and	CC	and
I	PP	I
'm	VBP	be
an	DT	an
18-year-old	JJ	18-year-old
girl	NN	girl
in	IN	in
my	PP$	my
fourth	JJ	fourth
year	NN	year
of	IN	of
college	NN	college
studying	VBG	study
ecology	NN	ecology
&	CC	&
eco	NN	<unknown>
education	NN	education
.	SENT	.
I	PP	I
love	VBP	love
plants	NNS	plant
,	,	,
playing	VBG	play
videogames	NNS	<unknown>
,	,	,
shitposting	NN	<unknown>
,	,	,
listening	VBG	listen
to	TO	to
music	NN	music
,	,	,
making	VBG	make
jewelry	NN	jewelry
among	IN	among
other	JJ	other
crafts	NNS	craft
,	,	,
spending	VBG	spend
time	NN	time
with	IN	with
my	PP$	my
blue	JJ	blue
heeler	NN	heeler
pup	NN	pup
,	,	,
and	CC	and
listening	VBG	listen
to	TO	to
people	NNS	people
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
boyfriend	NN	boyfriend
and	CC	and
one	CD	one
friend	NN	friend
but	CC	but
besides	IN	besides
that	WDT	that
I	PP	I
'm	VBP	be
pretty	RB	pretty
damn	RB	damn
alone	RB	alone
.	SENT	.
I	PP	I
would	MD	would
consider	VB	consider
myself	PP	myself
to	TO	to
be	VB	be
kind	JJ	kind
&	CC	&
funny	JJ	funny
,	,	,
I	PP	I
love	VBP	love
making	VBG	make
people	NNS	people
laugh	NN	laugh
,	,	,
I	PP	I
'm	VBP	be
ambitious	JJ	ambitious
and	CC	and
try	VB	try
to	TO	to
work	VB	work
hard	RB	hard
and	CC	and
be	VB	be
positive	JJ	positive
although	IN	although
a	DT	a
slew	NN	slew
of	IN	of
mental	JJ	mental
health	NN	health
issues	NNS	issue
do	VBP	do
weigh	VB	weigh
on	IN	on
me	PP	me
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
have	VB	have
a	DT	a
ton	NN	ton
of	IN	of
time	NN	time
to	TO	to
talk	VB	talk
due	JJ	due
to	TO	to
over-full-time	JJ	<unknown>
uni	NN	uni
+	SYM	+
work	NN	work
+	SYM	+
my	PP$	my
relationship	NN	relationship
which	WDT	which
also	RB	also
tends	VBZ	tend
to	TO	to
get	VB	get
in	IN	in
the	DT	the
way	NN	way
of	IN	of
making	VBG	make
pals	NNS	pal
,	,	,
but	CC	but
I	PP	I
just	RB	just
feel	VBP	feel
so	RB	so
alone	RB	alone
sometimes	RB	sometimes
&	CC	&
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
get	VB	get
overdependent	NN	<unknown>
on	IN	on
my	PP$	my
bf	NN	<unknown>
for	IN	for
socializing	VBG	socialize
cause	NN	cause
that	WDT	that
's	VBZ	be
unfair	JJ	unfair
to	TO	to
him	PP	him
.	SENT	.
If	IN	if
anyone	NN	anyone
is	VBZ	be
down	RB	down
for	IN	for
chatting	VBG	chat
every	DT	every
once	RB	once
in	IN	in
a	DT	a
while/checking	NN	<unknown>
in	IN	in
on	IN	on
each	DT	each
other/sharing	NN	<unknown>
memes	NNS	<unknown>
or	CC	or
interests	NNS	interest
,	,	,
message	NN	message
me	PP	me
please	VBP	please
:	:	:
)	)	)
I	PP	I
'm	VBP	be
open	JJ	open
to	TO	to
lots	NNS	lot
of	IN	of
messaging	VBG	message
services	NNS	service
but	CC	but
my	PP$	my
Discord	NN	<unknown>
is	VBZ	be
rockisdead.mp3	JJ	<unknown>
#4016	NN	<unknown>
.	SENT	.
Looking	VBG	look
forward	RB	forward
to	TO	to
meeting	VBG	meet
you	PP	you
!	SENT	!
