Hey	UH	hey
all	RB	all
I	PP	I
've	VBP	have
been	VBN	be
living	VBG	live
the	DT	the
loner	JJR	lone
lifestyle	NN	lifestyle
for	IN	for
atleast	NN	<unknown>
10	CD	@card@
years	NNS	year
now	RB	now
and	CC	and
I	PP	I
can	MD	can
say	VB	say
It	PP	it
's	VBZ	be
enjoyable	JJ	enjoyable
at	IN	at
times	NNS	time
.	SENT	.
I	PP	I
'd	MD	will
like	VB	like
to	TO	to
meet	VB	meet
up	RB	up
and	CC	and
be	VB	be
online	JJ	online
friends	NNS	friend
with	IN	with
a	DT	a
group	NN	group
of	IN	of
loners	NNS	loner
Ideally	RB	ideally
in	IN	in
my	PP$	my
own	JJ	own
country	NN	country
Britain	NP	Britain
do	VBP	do
I	PP	I
do	VBP	do
n't	RB	n't
feel	VB	feel
as	RB	as
alone	RB	alone
.	SENT	.
Would	MD	would
any	DT	any
loners	NNS	loner
out	IN	out
there	EX	there
be	VB	be
Intrested	JJ	<unknown>
I	PP	I
'm	VBP	be
only	RB	only
wanting	VBG	want
to	TO	to
know	VB	know
ones	NNS	one
mainly	RB	mainly
from	IN	from
my	PP$	my
own	JJ	own
culture	NN	culture
as	IN	as
I	PP	I
could	MD	could
visit	VB	visit
them	PP	them
alot	NN	<unknown>
easier	RBR	easier
.	SENT	.
Loner	JJR	lone
calling	VBG	call
out	RP	out
all	DT	all
loners	NNS	loner
...	:	...
...	:	...
...	:	...
...	:	...
.	SENT	.
Is	VBZ	be
there	RB	there
anyone	NN	anyone
out	IN	out
thier	NN	<unknown>
...	:	...
...	:	...
.	SENT	.
.	SENT	.
