Hey	UH	hey
!	SENT	!
I	PP	I
've	VBP	have
been	VBN	be
unemployed	JJ	unemployed
for	IN	for
the	DT	the
past	JJ	past
year	NN	year
,	,	,
working	VBG	work
on	IN	on
an	DT	an
app	NP	App
,	,	,
Augmy	NP	<unknown>
,	,	,
to	TO	to
kick	VB	kick
loneliness	NN	loneliness
in	IN	in
the	DT	the
nuts	NNS	nut
.	SENT	.
It	PP	it
's	VBZ	be
for	IN	for
real-time	JJ	real-time
mood	NN	mood
sharing	NN	sharing
with	IN	with
family	NN	family
and	CC	and
friends	NNS	friend
through	IN	through
progressive	JJ	progressive
flowers	NNS	flower
.	SENT	.
They	PP	they
bloom	VBP	bloom
as	IN	as
you	PP	you
get	VBP	get
better	JJR	good
,	,	,
and	CC	and
wither	VBP	wither
as	IN	as
you	PP	you
feel	VBP	feel
down	RB	down
.	SENT	.
I	PP	I
'm	VBP	be
looking	VBG	look
for	IN	for
people	NNS	people
who	WP	who
would	MD	would
bring	VB	bring
it	PP	it
to	TO	to
their	PP$	their
loved	VBN	love
ones	NNS	one
and	CC	and
let	VB	let
us	PP	us
know	VB	know
how	WRB	how
it	PP	it
can	MD	can
be	VB	be
improved	VBN	improve
to	TO	to
help	VB	help
**you**	NN	<unknown>
better	RBR	well
!	SENT	!
My	PP$	my
sister	NN	sister
(	(	(
she	PP	she
's	VBZ	be
doing	VBG	do
better	RBR	well
now	RB	now
)	)	)
was	VBD	be
suicidal	JJ	suicidal
while	IN	while
studying	VBG	study
abroad	RB	abroad
,	,	,
and	CC	and
we	PP	we
had	VBD	have
no	DT	no
idea	NN	idea
about	IN	about
what	WP	what
she	PP	she
was	VBD	be
going	VBG	go
through	IN	through
for	IN	for
years	NNS	year
.	SENT	.
So	RB	so
now	RB	now
I	PP	I
'm	VBP	be
working	VBG	work
every	DT	every
day	NN	day
,	,	,
so	RB	so
less	JJR	less
people	NNS	people
can	MD	can
experience	VB	experience
what	WP	what
we	PP	we
've	VBP	have
experienced	VBN	experience
.	SENT	.
Depression	NP	Depression
's	VBZ	be
a	DT	a
real	JJ	real
bitch	NN	bitch
,	,	,
and	CC	and
the	DT	the
idea	NN	idea
of	IN	of
asking	VBG	ask
for	IN	for
help	NN	help
or	CC	or
unloading	VBG	unload
it	PP	it
on	IN	on
your	PP$	your
loved	VBN	love
ones	NNS	one
seems	VBZ	seem
like	IN	like
the	DT	the
least	JJS	least
helpful	JJ	helpful
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
ourselves	PP	ourselves
and	CC	and
our	PP$	our
loved	VBN	love
ones	NNS	one
who	WP	who
have	VBP	have
the	DT	the
biggest	JJS	big
impact	NN	impact
on	IN	on
our	PP$	our
lives	NNS	life
and	CC	and
well-being	NN	well-being
.	SENT	.
So	RB	so
while	IN	while
it	PP	it
is	VBZ	be
often	RB	often
the	DT	the
source	NN	source
of	IN	of
great	JJ	great
pain	NN	pain
and	CC	and
may	MD	may
be	VB	be
the	DT	the
very	JJ	very
thing	NN	thing
that	WDT	that
got	VBD	get
us	PP	us
into	IN	into
this	DT	this
shit	NN	shit
,	,	,
it	PP	it
can	MD	can
just	RB	just
as	RB	as
well	RB	well
help	VB	help
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
reading	VBG	read
this	DT	this
far	RB	far
,	,	,
you	PP	you
're	VBP	be
a	DT	a
real	JJ	real
one	CD	one
!	SENT	!
How	WRB	how
to	TO	to
download	VB	<unknown>
the	DT	the
app**:**	JJ	<unknown>
**Android:**	NP	<unknown>
1	CD	@card@
.	SENT	.
Join	VB	join
a	DT	a
testing	NN	testing
group	NN	group
on	IN	on
Google	NP	<unknown>
Groups	NNS	group
:	:	:
[	SYM	[
https://groups.google.com/g/augmy/about](https://groups.google.com/g/augmy/about)	NP	<unknown>
2	CD	@card@
.	SENT	.
Using	VBG	use
the	DT	the
same	JJ	same
account	NN	account
,	,	,
download	NN	<unknown>
the	DT	the
app	NN	<unknown>
from	IN	from
the	DT	the
Google	NP	<unknown>
Play	NP	Play
Store	NP	Store
:	:	:
[	SYM	[
https://play.google.com/store/apps/details	NNS	<unknown>
?	SENT	?
id=augmy.interactive.com](https://play.google.com/store/apps/details	NNS	<unknown>
?	SENT	?
id=augmy.interactive.com	NN	<unknown>
)	)	)
.	SENT	.
Make	VB	make
sure	RB	sure
you	PP	you
join	VB	join
the	DT	the
Google	NP	<unknown>
Group	NP	Group
with	IN	with
the	DT	the
same	JJ	same
Google	NP	<unknown>
account	NN	account
you	PP	you
use	VBP	use
for	IN	for
the	DT	the
Play	NP	Play
Store	NP	Store
—	:	-
otherwise	RB	otherwise
,	,	,
it	PP	it
wo	MD	wo
n’t	RB	n't
work	VB	work
.	SENT	.
**iOS:**	NP	<unknown>
Join	NP	<unknown>
our	PP$	our
test	NN	test
group	NN	group
on	IN	on
Apple	NP	Apple
TestFlight	NP	<unknown>
here	RB	here
:	:	:
[	SYM	[
https://testflight.apple.com/join/engsT8kW](https://testflight.apple.com/join/engsT8kW	NN	<unknown>
)	)	)
.	SENT	.
You	PP	you
can	MD	can
also	RB	also
send	VB	send
feedback	NN	feedback
directly	RB	directly
through	IN	through
TestFlight	NP	<unknown>
.	SENT	.
I	PP	I
'll	MD	will
be	VB	be
happy	JJ	happy
to	TO	to
hear	VB	hear
any	DT	any
opinions	NNS	opinion
,	,	,
tips	NNS	tip
,	,	,
or	CC	or
anything	NN	anything
in	IN	in
between	IN	between
!	SENT	!
:	:	:
)	)	)
