Hey	UH	hey
,	,	,
y'all	NN	<unknown>
.	SENT	.
This	DT	this
is	VBZ	be
my	PP$	my
first	JJ	first
time	NN	time
posting	VBG	post
in	IN	in
this	DT	this
sub	NN	sub
.	SENT	.
Does	VBZ	do
anyone	NN	anyone
here	RB	here
used	VBN	use
to	TO	to
be	VB	be
relatively	RB	relatively
social	JJ	social
before	IN	before
becoming	VBG	become
a	DT	a
loner	NN	loner
?	SENT	?
For	IN	for
my	PP$	my
case	NN	case
,	,	,
although	IN	although
I	PP	I
was	VBD	be
n't	RB	n't
the	DT	the
life	NN	life
of	IN	of
the	DT	the
party	NN	party
so	RB	so
to	TO	to
speak	VB	speak
,	,	,
I	PP	I
did	VBD	do
remember	VB	remember
being	VBG	be
a	DT	a
bit	NN	bit
social	JJ	social
with	IN	with
my	PP$	my
friends	NNS	friend
back	RB	back
in	IN	in
school	NN	school
,	,	,
but	CC	but
in	IN	in
my	PP$	my
teens	NNS	teen
and	CC	and
later	JJR	late
adulthood	NN	adulthood
,	,	,
I	PP	I
just	RB	just
became	VBD	become
less	RBR	less
inclined	VBN	incline
with	IN	with
socializing	VBG	socialize
and	CC	and
making	VBG	make
new	JJ	new
friends	NNS	friend
in	IN	in
high	JJ	high
school	NN	school
and	CC	and
later	JJR	late
college	NN	college
(	(	(
though	IN	though
it	PP	it
's	VBZ	be
safe	JJ	safe
to	TO	to
say	VB	say
I	PP	I
consider	VB	consider
them	PP	them
acquaintances	NNS	acquaintance
)	)	)
and	CC	and
I	PP	I
was	VBD	be
just	RB	just
focused	VBN	focus
on	IN	on
doing	VBG	do
my	PP$	my
own	JJ	own
thing	NN	thing
,	,	,
though	IN	though
I	PP	I
still	RB	still
kept	VBD	keep
in	IN	in
touch	NN	touch
with	IN	with
my	PP$	my
old	JJ	old
friends	NNS	friend
on	IN	on
occasions	NNS	occasion
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
to	TO	to
explain	VB	explain
why	WRB	why
I	PP	I
became	VBD	become
quiet	JJ	quiet
,	,	,
but	CC	but
I	PP	I
know	VBP	know
I	PP	I
've	VBP	have
gotten	VBN	get
used	VBN	use
to	TO	to
it	PP	it
and	CC	and
I	PP	I
find	VB	find
being	VBG	be
alone	RB	alone
more	RBR	more
comfortable	JJ	comfortable
than	IN	than
being	VBG	be
with	IN	with
people	NNS	people
,	,	,
because	IN	because
it	PP	it
gives	VBZ	give
you	PP	you
more	JJR	more
freedom	NN	freedom
in	IN	in
general	NN	general
.	SENT	.
