Hey	UH	hey
everyone	NN	everyone
.	SENT	.
I	PP	I
’m	NN	<unknown>
posting	VBG	post
because	IN	because
I	PP	I
feel	VBP	feel
stuck	VBN	stick
between	IN	between
grief	NN	grief
and	CC	and
survival	NN	survival
and	CC	and
could	MD	could
really	RB	really
use	VB	use
some	DT	some
perspective	NN	perspective
.	SENT	.
I	PP	I
moved	VBD	move
to	TO	to
Las	NP	Las
Vegas	NP	Vegas
to	TO	to
live	VB	live
with	IN	with
my	PP$	my
cousin	NN	cousin
.	SENT	.
He	PP	he
was	VBD	be
my	PP$	my
roommate	NN	roommate
and	CC	and
a	DT	a
huge	JJ	huge
part	NN	part
of	IN	of
my	PP$	my
support	NN	support
system	NN	system
.	SENT	.
Unexpectedly	RB	unexpectedly
,	,	,
he	PP	he
passed	VBD	pass
away	RB	away
.	SENT	.
Losing	VBG	lose
him	PP	him
alone	RB	alone
has	VBZ	have
been	VBN	be
devastating	JJ	devastating
but	CC	but
what	WP	what
made	VBD	make
it	PP	it
even	RB	even
harder	RBR	harder
was	VBD	be
that	IN	that
his	PP$	his
passing	NN	passing
left	VBD	leave
me	PP	me
and	CC	and
my	PP$	my
dog	NN	dog
with	IN	with
only	RB	only
about	RB	about
two	CD	two
weeks	NNS	week
to	TO	to
figure	VB	figure
out	RP	out
where	WRB	where
to	TO	to
live	VB	live
and	CC	and
what	WP	what
to	TO	to
do	VB	do
next	JJ	next
.	SENT	.
Luckily	RB	luckily
for	IN	for
me	FW	me
i	FW	i
have	VB	have
a	DT	a
really	RB	really
strong	JJ	strong
support	NN	support
system	NN	system
back	RB	back
in	IN	in
Texas	NP	Texas
so	IN	so
i	NP	i
know	VBP	know
im	NP	im
loved	VBD	love
.	SENT	.
I	PP	I
sometimes	RB	sometimes
feel	VBP	feel
guilty	JJ	guilty
because	IN	because
i	NP	i
know	VBP	know
they	PP	they
worry	VBP	worry
because	IN	because
im	NP	im
a	DT	a
young	JJ	young
woman	NN	woman
1000s	JJ	<unknown>
of	IN	of
miles	NNS	mile
away	RB	away
from	IN	from
my	PP$	my
birth	NN	birth
family	NN	family
.	SENT	.
I	PP	I
’ve	VBP	have
moved	VBN	move
out	RP	out
of	IN	of
our	PP$	our
shared	VBN	share
house	NN	house
&	CC	&
have	VBP	have
gotten	VBN	get
a	DT	a
new	JJ	new
apartment	NN	apartment
since	IN	since
everything	NN	everything
happened	VBN	happen
(	(	(
December	NP	December
29th	JJ	29th
)	)	)
but	CC	but
sometimes	RB	sometimes
i	NP	i
feel	NN	feel
overwhelmed	VBN	overwhelm
at	IN	at
how	WRB	how
quickly	RB	quickly
my	PP$	my
life	NN	life
changed	VBD	change
.	SENT	.
Its	PP$	its
like	JJ	like
i	NP	i
’ll	NN	<unknown>
look	NN	look
around	IN	around
my	PP$	my
new	JJ	new
home	NN	home
and	CC	and
feel	VB	feel
completely	RB	completely
displaced	VBN	displace
even	RB	even
though	IN	though
i	NP	i
love	VBP	love
it	PP	it
.	SENT	.
I	PP	I
’ve	VBP	have
been	VBN	be
trying	VBG	try
to	TO	to
stand	VB	stand
on	IN	on
my	PP$	my
own	JJ	own
in	IN	in
a	DT	a
city	NN	city
that	WDT	that
still	RB	still
feels	VBZ	feel
like	IN	like
home	NN	home
but	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
family	NN	family
here	RB	here
,	,	,
and	CC	and
my	PP$	my
circle	NN	circle
is	VBZ	be
very	RB	very
small	JJ	small
.	SENT	.
Most	JJS	most
days	NNS	day
it	PP	it
’s	VBZ	be
just	RB	just
me	PP	me
,	,	,
my	PP$	my
dog	NN	dog
&	CC	&
sometimes	RB	sometimes
my	PP$	my
boyfriend	NN	boyfriend
,	,	,
navigating	VBG	navigate
grief	NN	grief
quietly	RB	quietly
while	IN	while
the	DT	the
world	NN	world
keeps	VBZ	keep
moving	VBG	move
.	SENT	.
I	PP	I
’m	NN	<unknown>
also	RB	also
an	DT	an
aspiring	JJ	aspiring
nail	NN	nail
tech	NN	tech
,	,	,
currently	RB	currently
working	VBG	work
toward	IN	toward
building	VBG	build
a	DT	a
future	NN	future
for	IN	for
myself	PP	myself
.	SENT	.
I	PP	I
love	VBP	love
the	DT	the
craft	NN	craft
and	CC	and
the	DT	the
creativity	NN	creativity
,	,	,
but	CC	but
some	DT	some
days	NNS	day
it	PP	it
’s	VBZ	be
incredibly	RB	incredibly
hard	JJ	hard
to	TO	to
stay	VB	stay
motivated	VBN	motivate
when	WRB	when
everything	NN	everything
feels	VBZ	feel
unstable	JJ	unstable
and	CC	and
emotionally	RB	emotionally
heavy	JJ	heavy
.	SENT	.
I	PP	I
’m	NN	<unknown>
grieving	VBG	grieve
someone	NN	someone
I	PP	I
moved	VBD	move
here	RB	here
for	IN	for
,	,	,
while	IN	while
also	RB	also
trying	VBG	try
not	RB	not
to	TO	to
let	VB	let
my	PP$	my
life	NN	life
completely	RB	completely
unravel	VB	unravel
.	SENT	.
I	PP	I
guess	VBP	guess
I	PP	I
’m	NN	<unknown>
just	RB	just
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
people	NNS	people
do	VBP	do
this	DT	this
—	:	-
how	WRB	how
you	PP	you
process	VBP	process
loss	NN	loss
while	IN	while
being	VBG	be
forced	VBN	force
to	TO	to
grow	VB	grow
up	RB	up
fast	JJ	fast
(	(	(
just	RB	just
turned	VBN	turn
27	CD	@card@
yesterday	NN	yesterday
)	)	)
,	,	,
relocate	NN	relocate
fast	RB	fast
,	,	,
and	CC	and
keep	VB	keep
showing	VBG	show
up	RP	up
for	IN	for
your	PP$	your
goals	NNS	goal
.	SENT	.
If	IN	if
you	PP	you
’ve	VBP	have
experienced	VBN	experience
sudden	JJ	sudden
loss	NN	loss
,	,	,
displacement	NN	displacement
,	,	,
or	CC	or
rebuilding	VBG	rebuild
your	PP$	your
life	NN	life
far	RB	far
from	IN	from
home	NN	home
,	,	,
how	WRB	how
did	VBD	do
you	PP	you
cope	VB	cope
?	SENT	?
What	WP	what
helped	VBD	help
you	PP	you
keep	VB	keep
going	VBG	go
?	SENT	?
