Hello	UH	hello
yall	NN	<unknown>
i	NNS	i
just	RB	just
wanna	VBP	wanna
say	VBP	say
I	PP	I
think	VBP	think
we	PP	we
all	RB	all
can	MD	can
agree	VB	agree
being	VBG	be
chronically	RB	chronically
lonely	JJ	lonely
is	VBZ	be
the	DT	the
most	JJS	most
ass	NN	ass
thing	NN	thing
in	IN	in
existence	NN	existence
.	SENT	.
I	PP	I
already	RB	already
deal	VBP	deal
with	IN	with
serious	JJ	serious
mental	JJ	mental
illness	NN	illness
(	(	(
if	IN	if
ur	NNS	<unknown>
wondering	VBG	wonder
i	NP	i
deal	NN	deal
with	IN	with
extreme	JJ	extreme
mood	NN	mood
cycles	NNS	cycle
for	IN	for
weeks	NNS	week
on	IN	on
end	NN	end
)	)	)
but	CC	but
the	DT	the
worst	JJS	bad
part	NN	part
about	IN	about
that	WDT	that
is	VBZ	be
all	PDT	all
the	DT	the
friends	NNS	friend
I	PP	I
thought	VBD	think
I	PP	I
had	VBD	have
could	MD	could
n't	RB	n't
be	VB	be
bothered	VBN	bother
to	TO	to
check	VB	check
on	IN	on
me	PP	me
like	VBP	like
at	IN	at
all	DT	all
.	SENT	.
Its	PP$	its
bad	JJ	bad
for	IN	for
me	PP	me
because	IN	because
im	NP	im
so	RB	so
prone	JJ	prone
to	TO	to
have	VB	have
multiple	JJ	multiple
voices	NNS	voice
inside	IN	inside
of	IN	of
my	PP$	my
head	NN	head
.	SENT	.
Online	JJ	online
I	PP	I
try	VBP	try
to	TO	to
talk	VB	talk
with	IN	with
my	PP$	my
"	``	"
friends	NNS	friend
"	''	"
and	CC	and
get	VB	get
kicked	VBN	kick
out	RP	out
of	IN	of
vc	NN	<unknown>
every	DT	every
time	NN	time
,	,	,
and	CC	and
in	IN	in
real	JJ	real
life	NN	life
I	PP	I
dont	VBP	<unknown>
even	RB	even
have	VB	have
a	DT	a
social	JJ	social
life	NN	life
.	SENT	.
Not	RB	not
from	IN	from
anxiety	NN	anxiety
but	CC	but
from	IN	from
a	DT	a
brutal	JJ	brutal
self	NN	self
acceptance	NN	acceptance
that	IN	that
im	NP	im
not	RB	not
normal	JJ	normal
and	CC	and
i	NP	i
feel	VBP	feel
a	DT	a
disconnect	VB	disconnect
with	IN	with
most	JJS	most
people	NNS	people
who	WP	who
are	VBP	be
normal	JJ	normal
.	SENT	.
I	PP	I
feel	VBP	feel
like	IN	like
a	DT	a
skin	NN	skin
walker	NN	walker
My	PP$	my
whole	JJ	whole
life	NN	life
I	PP	I
've	VBP	have
basically	RB	basically
been	VBN	be
alone	RB	alone
or	CC	or
looked	VBD	look
at	IN	at
with	IN	with
pity	NN	pity
and	CC	and
condescension	NN	condescension
from	IN	from
my	PP$	my
peers	NNS	peer
.	SENT	.
Not	RB	not
even	RB	even
kidding	VBG	kid
everyone	NN	everyone
thought	VBD	think
I	PP	I
was	VBD	be
autistic	JJ	autistic
or	CC	or
simply	RB	simply
just	RB	just
the	DT	the
R-Word	NP	<unknown>
.	SENT	.
Ive	NP	Ive
been	VBN	be
left	VBN	leave
on	IN	on
read	VBN	read
for	IN	for
months	NNS	month
by	IN	by
people	NNS	people
i	NP	i
thought	VBD	think
I	PP	I
can	MD	can
open	VB	open
up	RP	up
to	TO	to
.	SENT	.
I	PP	I
poured	VBD	pour
my	PP$	my
heart	NN	heart
out	RP	out
to	TO	to
my	PP$	my
mom	NN	mom
about	IN	about
my	PP$	my
issue	NN	issue
yet	CC	yet
cant	NN	cant
get	VBP	get
professional	JJ	professional
help	NN	help
.	SENT	.
I	PP	I
try	VBP	try
to	TO	to
make	VB	make
friends	NNS	friend
with	IN	with
other	JJ	other
youtubers	NNS	<unknown>
and	CC	and
artists	NNS	artist
always	RB	always
fails	VBZ	fail
.	SENT	.
I	PP	I
try	VBP	try
to	TO	to
do	VB	do
the	DT	the
right	JJ	right
thing	NN	thing
irl	NN	<unknown>
yet	CC	yet
nobody	NN	nobody
likes	VBZ	like
me	PP	me
Nobody	NN	nobody
likes	VBZ	like
me	PP	me
at	IN	at
all	DT	all
.	SENT	.
Not	RB	not
even	RB	even
my	PP$	my
own	JJ	own
family	NN	family
I	PP	I
get	VBP	get
ignored	VBN	ignore
too	RB	too
by	IN	by
my	PP$	my
moms	NNS	mom
boyfriend	NN	boyfriend
.	SENT	.
Whenever	WRB	whenever
im	NP	im
in	IN	in
a	DT	a
high	JJ	high
state	NN	state
of	IN	of
mood	NN	mood
for	IN	for
weeks	NNS	week
I	PP	I
cant	VBP	cant
sleep	NN	sleep
well	RB	well
I	PP	I
basically	RB	basically
get	VBP	get
zero	NN	zero
.	SENT	.
In	IN	in
turn	NN	turn
I	PP	I
cant	VBP	cant
function	NN	function
.	SENT	.
Then	RB	then
I	PP	I
blackout	VBP	blackout
whenever	WRB	whenever
something	NN	something
or	CC	or
someone	NN	someone
gets	VBZ	get
me	PP	me
mad	JJ	mad
.	SENT	.
Makes	VBZ	make
my	PP$	my
organs	NNS	organ
feel	VBP	feel
like	IN	like
its	PP$	its
dying	VBG	die
.	SENT	.
Boosts	VBZ	boost
my	PP$	my
sexual	JJ	sexual
drive	NN	drive
up	IN	up
and	CC	and
i	NP	i
cannot	MD	can
stand	VB	stand
it	PP	it
mixed	JJ	mixed
with	IN	with
depression	NN	depression
.	SENT	.
So	RB	so
yea	RB	yea
I	PP	I
hate	VBP	hate
my	PP$	my
loneliness	NN	loneliness
and	CC	and
mental	JJ	mental
health	NN	health
failure	NN	failure
.	SENT	.
