Hey	UH	hey
everyone	NN	everyone
,	,	,
I	PP	I
’ve	VBP	have
been	VBN	be
single	JJ	single
for	IN	for
about	RB	about
1.5	CD	@card@
years	NNS	year
now	RB	now
,	,	,
and	CC	and
lately	RB	lately
I	PP	I
’ve	VBP	have
been	VBN	be
feeling	VBG	feel
a	DT	a
bit	NN	bit
lonely	JJ	lonely
.	SENT	.
I	PP	I
’m	NN	<unknown>
looking	VBG	look
to	TO	to
connect	VB	connect
with	IN	with
someone	NN	someone
20+	JJ	<unknown>
for	IN	for
a	DT	a
meaningful	JJ	meaningful
relationship	NN	relationship
—	:	-
but	CC	but
I	PP	I
’m	NN	<unknown>
totally	RB	totally
fine	JJ	fine
with	IN	with
starting	VBG	start
as	IN	as
friends	NNS	friend
and	CC	and
seeing	VBG	see
where	WRB	where
things	NNS	thing
go	VBP	go
naturally	RB	naturally
.	SENT	.
A	DT	a
little	JJ	little
about	IN	about
me	PP	me
:	:	:
•	NN	<unknown>
I	PP	I
enjoy	VBP	enjoy
video	NN	video
editing	VBG	edit
and	CC	and
exploring	VBG	explore
different	JJ	different
software	NN	software
tools	NNS	tool
•	JJ	<unknown>
Big	NP	Big
fan	NN	fan
of	IN	of
3D	JJ	3D
CAD	NP	Cad
designing	VBG	design
•	NN	<unknown>
I	PP	I
love	VBP	love
cycling	VBG	cycle
and	CC	and
playing	VBG	play
chess	NN	chess
•	NN	<unknown>
And	CC	and
yes	NN	yes
…	NN	<unknown>
I	PP	I
can	MD	can
happily	RB	happily
sleep	VB	sleep
10+	JJ	<unknown>
hours	NNS	hour
like	IN	like
it	PP	it
’s	VBZ	be
a	DT	a
hobby	NN	hobby
😅	NN	<unknown>
•	NN	<unknown>
Overall	RB	overall
,	,	,
I	PP	I
’m	NN	<unknown>
a	DT	a
mix	NN	mix
of	IN	of
techie	NN	techie
+	SYM	+
chill	NN	chill
+	SYM	+
slightly	RB	slightly
boring	JJ	boring
but	CC	but
in	IN	in
a	DT	a
wholesome	JJ	wholesome
way	NN	way
If	IN	if
you	PP	you
’re	VBP	be
also	RB	also
looking	VBG	look
for	IN	for
someone	NN	someone
genuine	JJ	genuine
to	TO	to
talk	VB	talk
to	TO	to
and	CC	and
maybe	RB	maybe
build	VB	build
something	NN	something
real	JJ	real
with	IN	with
,	,	,
feel	VB	feel
free	JJ	free
to	TO	to
DM	NP	DM
.	SENT	.
