Hey	UH	hey
there	RB	there
everyone	NN	everyone
!	SENT	!
Hope	VBP	hope
you	PP	you
're	VBP	be
all	RB	all
doing	VBG	do
well	RB	well
and	CC	and
happy	JJ	happy
new	JJ	new
year	NN	year
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
I	PP	I
'm	VBP	be
41	CD	@card@
.	SENT	.
Never	RB	never
was	VBD	be
very	RB	very
popular	JJ	popular
with	IN	with
society	NN	society
.	SENT	.
in	IN	in
my	PP$	my
20	CD	@card@
's	POS	's
Had	VBD	have
two	CD	two
girlfriends	NNS	girlfriend
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
A	DT	a
couple	NN	couple
friends	NNS	friend
,	,	,
but	CC	but
professionally	RB	professionally
,	,	,
I	PP	I
was	VBD	be
going	VBG	go
nowhere	RB	nowhere
in	IN	in
the	DT	the
city	NN	city
I	PP	I
lived	VBD	live
so	RB	so
I	PP	I
had	VBD	have
to	TO	to
move	VB	move
out	RP	out
.	SENT	.
I	PP	I
kept	VBD	keep
contact	NN	contact
with	IN	with
everyone	NN	everyone
.	SENT	.
Visit	VB	visit
them	PP	them
from	IN	from
time	NN	time
to	TO	to
time	NN	time
,	,	,
but	CC	but
never	RB	never
them	PP	them
.	SENT	.
Where	WRB	where
I	PP	I
live	VBP	live
(	(	(
still	RB	still
there	RB	there
today	NN	today
)	)	)
I	PP	I
went	VBD	go
out	RP	out
.	SENT	.
Try	VB	try
to	TO	to
meet	VB	meet
new	JJ	new
people	NNS	people
,	,	,
but	CC	but
it	PP	it
never	RB	never
clicked	VBD	click
.	SENT	.
Tried	VBN	try
to	TO	to
date	NN	date
,	,	,
but	CC	but
was	VBD	be
tired	VBN	tire
of	IN	of
hearing	VBG	hear
that	IN	that
i	NNS	i
'm	VBP	be
either	RB	either
short	JJ	short
or	CC	or
my	PP$	my
income	NN	income
wo	MD	wo
n't	RB	n't
follow	VB	follow
her	PP	her
(	(	(
happened	VBN	happen
twice	RB	twice
for	IN	for
this	DT	this
one	CD	one
)	)	)
.	SENT	.
Been	VBN	be
5	CD	@card@
years	NNS	year
since	IN	since
I	PP	I
had	VBD	have
a	DT	a
date	NN	date
.	SENT	.
Been	VBN	be
almost	RB	almost
10	CD	@card@
years	NNS	year
since	IN	since
I	PP	I
went	VBD	go
out	RP	out
meeting	VBG	meet
a	DT	a
real	JJ	real
friend	NN	friend
.	SENT	.
I	PP	I
just	RB	just
do	VBP	do
my	PP$	my
things	NNS	thing
in	IN	in
life	NN	life
.	SENT	.
Gym	NN	gym
,	,	,
work	NN	work
,	,	,
going	VBG	go
out	RP	out
for	IN	for
a	DT	a
coffee	NN	coffee
etc	FW	etc
etc	FW	etc
and	CC	and
going	VBG	go
back	RB	back
to	TO	to
school	NN	school
at	IN	at
the	DT	the
end	NN	end
of	IN	of
2026	CD	@card@
.	SENT	.
I	PP	I
realized	VBD	realize
that	IN	that
I	PP	I
just	RB	just
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
try	VB	try
it	PP	it
anymore	RB	anymore
.	SENT	.
That	IN	that
I	PP	I
gave	VBD	give
my	PP$	my
best	JJS	good
shot	NN	shot
,	,	,
but	CC	but
things	NNS	thing
in	IN	in
life	NN	life
does	VBZ	do
n't	RB	n't
go	VB	go
the	DT	the
way	NN	way
you	PP	you
always	RB	always
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
and	CC	and
i	NP	i
'm	VBP	be
at	IN	at
peace	NN	peace
with	IN	with
this	DT	this
.	SENT	.
Peace	NN	peace
does	VBZ	do
n't	RB	n't
mean	VB	mean
that	IN	that
I	PP	I
am	VBP	be
happy	JJ	happy
with	IN	with
the	DT	the
outcome	NN	outcome
,	,	,
but	CC	but
I	PP	I
know	VBP	know
that	IN	that
the	DT	the
sad	JJ	sad
part	NN	part
is	VBZ	be
long	RB	long
gone	VBN	go
.	SENT	.
