Hi	UH	hi
.	SENT	.
i	NP	i
'm	VBP	be
a	DT	a
19	CD	@card@
year	NN	year
old	JJ	old
furry	JJ	furry
.	SENT	.
That	DT	that
sentiment	NN	sentiment
may	MD	may
or	CC	or
may	MD	may
not	RB	not
hold	VB	hold
importance	NN	importance
to	TO	to
what	WP	what
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
,	,	,
but	CC	but
I	PP	I
digress	VBP	digress
.	SENT	.
Furries	NNS	<unknown>
have	VBP	have
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
reputation	NN	reputation
amongst	IN	amongst
others	NNS	other
.	SENT	.
If	IN	if
they	PP	they
're	VBP	be
not	RB	not
drop-dead	JJ	drop-dead
gorgeous	JJ	gorgeous
,	,	,
they	PP	they
have	VBP	have
these	DT	these
fantastical	JJ	fantastical
jobs	NNS	job
that	IN	that
kids	NNS	kid
can	MD	can
only	RB	only
dream	VB	dream
of	IN	of
.	SENT	.
I	PP	I
was	VBD	be
scrolling	VBG	scroll
on	IN	on
Tiktok	NP	<unknown>
about	IN	about
2	CD	@card@
nights	NNS	night
ago	RB	ago
,	,	,
which	WDT	which
was	VBD	be
probably	RB	probably
a	DT	a
terrible	JJ	terrible
idea	NN	idea
.	SENT	.
I	PP	I
stumbled	VBD	stumble
upon	IN	upon
this	DT	this
rather	RB	rather
wholesome	JJ	wholesome
videos	NNS	video
.	SENT	.
It	PP	it
was	VBD	be
about	RB	about
a	DT	a
fellow	JJ	fellow
furry	JJ	furry
,	,	,
who	WP	who
happened	VBD	happen
to	TO	to
be	VB	be
a	DT	a
racecar	NN	<unknown>
driver	NN	driver
.	SENT	.
That	DT	that
was	VBD	be
fine	JJ	fine
.	SENT	.
They	PP	they
were	VBD	be
much	RB	much
older	JJR	old
than	IN	than
me	PP	me
,	,	,
and	CC	and
it	PP	it
did	VBD	do
n't	RB	n't
really	RB	really
phase	VB	phase
me	PP	me
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
since	IN	since
youth	NN	youth
,	,	,
I	PP	I
always	RB	always
wanted	VBD	want
to	TO	to
be	VB	be
a	DT	a
racecar	NN	<unknown>
driver	NN	driver
.	SENT	.
My	PP$	my
entire	JJ	entire
life	NN	life
essentially	RB	essentially
revolved	VBN	revolve
around	IN	around
racing	NN	racing
.	SENT	.
I	PP	I
made	VBD	make
the	DT	the
mistake	NN	mistake
of	IN	of
opening	VBG	open
the	DT	the
comments	NNS	comment
,	,	,
and	CC	and
discovering	VBG	discover
other	JJ	other
racer	NN	racer
furries	NNS	<unknown>
,	,	,
some	DT	some
as	RB	as
young	JJ	young
as	IN	as
15	CD	@card@
,	,	,
racing	VBG	race
in	IN	in
regional	JJ	regional
events	NNS	event
.	SENT	.
I	PP	I
'm	VBP	be
19	CD	@card@
,	,	,
and	CC	and
I	PP	I
have	VBP	have
never	RB	never
set	VBN	set
foot	NN	foot
in	IN	in
a	DT	a
racecar	NN	<unknown>
ever	RB	ever
,	,	,
let	VBP	let
alone	RB	alone
had	VBD	have
the	DT	the
money	NN	money
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
Especially	RB	especially
that	IN	that
15-16	CD	@card@
individual	NN	individual
really	RB	really
hit	VBD	hit
me	PP	me
hard	RB	hard
.	SENT	.
It	PP	it
made	VBD	make
me	PP	me
realize	VBP	realize
that	IN	that
I	PP	I
have	VBP	have
n't	RB	n't
done	VBN	do
as	RB	as
much	RB	much
as	IN	as
I	PP	I
wanted	VBD	want
to	TO	to
have	VB	have
done	VBN	do
in	IN	in
my	PP$	my
life	NN	life
so	RB	so
far	RB	far
,	,	,
as	IN	as
the	DT	the
window	NN	window
to	TO	to
start	VB	start
racing	NN	racing
is	VBZ	be
most	RBS	most
likely	JJ	likely
far	RB	far
gone	VBN	go
for	IN	for
me	PP	me
.	SENT	.
It	PP	it
's	VBZ	be
gotten	VBN	get
so	RB	so
bad	JJ	bad
that	IN	that
I	PP	I
've	VBP	have
flatout	RB	<unknown>
considered	VBN	consider
abandoning	VBG	abandon
my	PP$	my
love	NN	love
for	IN	for
cars	NNS	car
,	,	,
and	CC	and
I	PP	I
have	VBP	have
n't	RB	n't
left	VBN	leave
my	PP$	my
room	NN	room
since	IN	since
Friday	NP	Friday
night	NN	night
essentially	RB	essentially
.	SENT	.
Even	RB	even
thinking	VBG	think
about	IN	about
cars	NNS	car
makes	VBZ	make
me	PP	me
sad	JJ	sad
now	RB	now
,	,	,
realizing	VBG	realize
that	IN	that
accomplishing	VBG	accomplish
my	PP$	my
dreams	NNS	dream
is	VBZ	be
most	RBS	most
likely	RB	likely
done	VBN	do
for	IN	for
.	SENT	.
I	PP	I
completely	RB	completely
forgot	VBD	forget
about	RB	about
said	VBD	say
dream	NN	dream
until	IN	until
that	DT	that
night	NN	night
,	,	,
and	CC	and
now	RB	now
I	PP	I
ca	MD	ca
n't	RB	n't
stop	VB	stop
thinking	VBG	think
about	RB	about
how	WRB	how
I	PP	I
could	MD	could
've	VB	have
done	VBN	do
something	NN	something
in	IN	in
life	NN	life
.	SENT	.
But	CC	but
instead	RB	instead
,	,	,
I	PP	I
've	VBP	have
done	VBN	do
nothing	RB	nothing
more	RBR	more
significant	JJ	significant
than	IN	than
rot	NN	rot
in	IN	in
